label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	most probable cluster
5560	197.9199981689453	200.47999572753903	95.8000030517578	195.52	198.08	92.5	201.44	203.28	98.4	100814	clade11sub17subsub6
5561	200.0	203.83999633789062	94.20000457763672	196.96	201.28	91.0	202.16	206.24	96.9	95622	clade11sub17subsub6
5562	201.59999084472656	195.3600006103516	95.8000030517578	199.44	192.48	93.0	204.0	198.0	97.8	87657	clade11sub17subsub6
5563	204.63999938964844	204.1599884033203	94.5999984741211	202.56	198.64	91.8	210.16	206.24	94.9	104021	nocladesub19
5564	205.1199951171875	195.3600006103516	93.20000457763672	202.88	191.92	90.6	208.24	200.16	96.6	138782	clade11sub17subsub6
5565	208.9599914550781	194.239990234375	94.4000015258789	205.28	189.76	91.8	212.72	199.44	96.9	159957	clade10sub3subsub5-9
5566	212.79998779296875	192.47999572753903	92.8000030517578	208.56	189.44	90.7	216.72	196.88	94.6	95493	clade10sub3subsub5-9
5567	212.63999938964844	188.0	93.20000457763672	209.68	184.32	90.6	214.72	190.32	95.7	112459	clade11sub17subsub6
5568	218.55999755859372	190.0800018310547	94.5999984741211	213.44	186.8	92.8	220.08	193.6	97.7	71742	clade10sub3subsub5-9
5569	216.1599884033203	188.0	93.0	214.32	185.52	91.2	218.32	191.28	95.3	74173	clade11sub9subsub3
5570	126.23999786376952	208.0	97.20000457763672	124.72	205.28	94.2	129.44	213.12	99.5	84573	zero
5571	129.91999816894528	207.67999267578125	94.5999984741211	127.84	206.0	93.1	136.88	214.16	96.3	87321	nocladesub3
5572	183.83999633789062	204.3199920654297	99.20000457763672	180.64	203.28	94.5	186.16	209.76	99.6	70057	nocladesub3
5573	188.8000030517578	202.3999938964844	99.0	186.64	201.2	94.8	193.28	210.16	99.4	117332	nocladesub3
5574	197.27999877929688	207.0399932861328	94.4000015258789	194.8	205.28	91.9	201.04	210.64	96.6	96666	clade11sub58
5575	143.36000061035156	102.07999420166016	103.0	140.0	98.88	98.7	146.24	104.08	106.0	117458	clade13sub3
5576	148.16000366210938	102.23999786376952	100.0	145.92000000000004	99.6	96.6	151.20000000000005	104.88	103.2	103394	clade9sub12
5577	153.27999877929688	96.0	101.8000030517578	149.28	94.16	98.9	155.84	98.56	105.5	110868	clade6sub22
5578	167.51998901367188	97.1199951171875	97.4000015258789	161.76	94.56	95.9	171.84	99.12	99.2	58221	clade10sub21
5579	165.75999450683594	93.75999450683594	99.0	161.84	90.96	96.6	168.4	97.84	104.2	145486	clade6sub25
5580	165.44000244140625	101.27999877929688	102.5999984741211	163.36	99.92	95.0	170.72	103.28	104.2	105392	clade10sub8
5581	172.3199920654297	102.87999725341795	99.0	169.84	99.52	97.0	174.56	106.08	101.4	101424	clade5sub16
5582	175.67999267578125	100.31999969482422	98.20000457763672	173.84	97.04	95.9	177.68	104.72	100.7	95304	clade11sub11subsub0-4
5583	181.27999877929688	101.43999481201172	97.5999984741211	177.44	98.08	96.1	184.24	106.8	100.2	134389	zero
5584	183.0399932861328	88.63999938964844	98.8000030517578	180.08	86.48	96.2	184.64	92.72	102.0	106838	clade6sub15
5585	184.9599914550781	99.68000030517578	101.0	180.24	95.12	97.2	188.0	103.52	105.9	261659	clade1sub4
5586	184.1599884033203	105.43999481201172	97.5999984741211	180.0	102.0	95.4	187.36	109.04	100.7	89263	clade4sub5
5587	190.3999938964844	98.4000015258789	98.0	187.84	92.96	95.1	192.72	101.6	99.2	109010	clade11sub59
5588	192.47999572753903	92.0	99.0	187.92	87.2	97.2	194.96	96.24	102.0	100619	clade11sub18subsub9
