label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
2159	1.3365520084643442e-19	2.9426100557000286e-17	255-24-215-202	255-212-231-53
2160	1.031531407576676e-21	7.340379084954702e-17	255-24-215-202	255-70-122-242
2161	2.990758313173108e-20	2.541599276760123e-15	255-24-215-202	255-26-209-210
2162	6.76087429629831e-15	3.5592723347179284e-08	255-24-215-202	255-212-231-53
2163	1.0324568801381442e-06	0.0001825327124459	255-53-243-148	255-70-122-242
2164	0.0014946784142656	0.0007237349931913	255-122-4-2	255-70-122-242
2165	0.0125013414336908	7.38137686895611e-05	255-128-254-83	255-101-252-104
2166	1.3602437246648274e-22	1.5953892077610475e-11	255-24-215-202	255-70-122-242
2167	1.2732524687465348e-23	2.0786443886070552e-19	255-24-215-202	255-122-4-2
2168	1.1261035442718868e-25	1.6631120829844193e-15	255-70-122-242	255-122-4-2
2169	1.6342849982565634e-17	5.63665846662295e-13	255-24-215-202	255-122-4-2
2170	4.1139737455006826e-25	2.538268485469846e-22	255-70-122-242	255-122-4-2
2171	2.2197537293227e-25	1.9781069376265587e-16	255-70-122-242	255-122-4-2
2172	9.004007948520894e-27	9.46638504129538e-14	255-24-215-202	255-122-4-2
2173	2.0035370763159901e-19	7.232793283009175e-16	255-70-122-242	255-122-4-2
2174	6.911759929956352e-21	1.1059599048976117e-15	255-24-215-202	255-122-4-2
2175	3.0714427092754036e-20	1.31306015510262e-18	255-24-215-202	255-122-4-2
2176	8.999766814173111e-29	3.333805365215465e-19	255-24-215-202	255-122-4-2
2177	1.2876726847697412e-15	5.655743406238484e-13	255-24-215-202	255-122-4-2
2178	4.096437515194102e-18	5.580274185566246e-13	255-24-215-202	255-122-4-2
2179	1.6146276142929818e-13	9.525917232015281e-14	255-24-215-202	255-122-4-2
2180	6.727708753309871e-16	2.5693611852036665e-13	255-24-215-202	255-122-4-2
2181	9.363161819383728e-24	6.977365958574862e-17	255-70-122-242	255-122-4-2
2182	1.9708499677252922e-23	5.130806122197882e-16	255-70-122-242	255-122-4-2
2183	3.0150214263174297e-21	2.463593999843701e-19	255-70-122-242	255-122-4-2
2184	6.011820600742787e-19	2.301715649304152e-14	255-24-215-202	255-212-231-53
2185	1.0884094529363343e-26	5.04882616321046e-19	255-70-122-242	255-122-4-2
2186	2.36449531740182e-17	2.2715733616988392e-14	255-24-215-202	255-122-4-2
2187	5.816056542586798e-17	1.7642513305824963e-16	255-24-215-202	255-212-231-53
2188	5.819895380716153e-20	4.808633855082058e-19	255-24-215-202	255-122-4-2
2189	5.2701461884182666e-15	9.758300517495817e-14	255-70-122-242	255-122-4-2
2190	7.754932494389099e-21	1.2553031410861703e-10	255-24-215-202	255-122-4-2
2191	1.754505470044593e-20	2.9164298718392023e-19	255-24-215-202	255-122-4-2
2192	6.601770862329139e-19	3.0661016913129045e-20	255-24-215-202	255-122-4-2
2193	7.822336067112625e-20	1.806385183362772e-19	255-24-215-202	255-122-4-2
2194	2.476330713548897e-21	7.776602060065701e-16	255-24-215-202	255-122-4-2
2195	1.6129081276985894e-20	3.374376338951171e-20	255-24-215-202	255-212-231-53
2196	6.442348925357348e-21	5.594221436357303e-19	255-70-122-242	255-122-4-2
2197	1.9988068337885312e-18	9.614962735669533e-19	255-24-215-202	255-122-4-2
2198	3.8012846717780962e-22	8.119764534568432e-20	255-70-122-242	255-212-231-53
2199	4.553248866326142e-19	1.6032977035156168e-20	255-24-215-202	255-26-209-210
2200	1.112721891755255e-20	1.5958577577811254e-15	255-24-215-202	255-122-4-2
