label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
11	7.465759036993562e-26	1.781104385172493e-27	9.093616007138983e-05	0.9999090638348479	3.5968557825931757e-13	2.5409567537340634e-25	2.7688229536451898e-17	5.466994085317791e-23	4.041212863718518e-15	4.716890980418388e-12	9.054124680509891e-27	4.442815994118674e-208	2.984734160242209e-254	Nervous System
12	1.86712213963546e-30	1.6650153069084381e-29	0.9998623915355083	0.00013760627713261064	1.97097376553724e-09	8.227527073521693e-26	9.556048998111095e-17	1.6723666794367426e-28	2.1638527873773446e-10	3.2594257204805095e-31	1.3360148372268542e-21	4.331626619450116e-258	2.123794864310014e-214	Sensory Motile Cilia
13	1.4786286233101815e-19	1.1808347287828552e-22	0.9894777221182718	0.010370926309440604	4.873186966629297e-06	2.9505943295363397e-20	2.3236726877266285e-11	2.6104109216643595e-17	0.00014647836208412187	1.735215533299365e-24	4.0427177854832735e-18	5.389984113313025e-224	3.4644882466063733e-234	Sensory Motile Cilia
14	1.5072030508603676e-15	2.9002242096104314e-16	0.0006788208928191864	0.9993211788296271	2.3400804551639886e-10	3.595110904777317e-18	3.565882284927818e-14	4.003867729862629e-12	1.2865616617726424e-16	4.876335497516786e-12	3.4627927561382576e-11	2.5331165589476584e-115	0.0	Nervous System
15	1.4738022030298472e-23	1.532573344375763e-26	0.013229485191992225	0.9867705147750897	2.5551425101549242e-11	3.1003051210102294e-23	4.370829626037183e-16	1.1064975547488377e-17	7.366049283224651e-12	1.27557684567586e-16	1.796267436743964e-23	2.871000257220901e-196	1.9718706460567132e-260	Nervous System
16	7.743478760457236e-17	5.024340371529013e-15	0.8261068022092465	0.17389207355164274	1.1188234402493943e-06	2.5095050256578516e-16	8.086412891757654e-11	7.146902329544502e-18	5.32121211524837e-09	1.3589107961943488e-11	9.772608764915144e-20	1.9679576729146968e-116	0.0	Sensory Motile Cilia
17	2.4660359295078517e-18	3.3064223405160566e-16	4.2813639562221594e-05	5.168859288098088e-10	0.0003100679982932891	2.6184140313546527e-17	8.622631036798413e-07	9.200730630891497e-17	0.9996462555821539	2.991863955039402e-26	5.009163245940742e-16	4.87258172024551e-184	3.383788832197625e-257	Heme/chitin
18	4.0004975155827293e-29	6.220733076129915e-31	0.9446010129139515	0.055398987085377674	6.388411270690585e-13	5.108212297074444e-30	1.6999367557157971e-18	1.4698015845925267e-30	3.203893715733935e-14	3.3593351493443135e-26	1.7608715669480367e-26	0.0	7.958663268150415e-209	Sensory Motile Cilia
19	5.631225000047543e-07	1.0121012212518021e-15	0.32022869665418346	0.6718002057272747	0.003306614286003509	0.004663897902911648	1.4628344279912232e-08	8.708254535356486e-13	7.67791055033328e-09	2.958767463006271e-22	4.861256946188431e-19	2.5209888414242044e-207	1.6750173978191736e-244	Nervous System
20	6.041044440599548e-25	1.1488176812412515e-25	0.00012419871445386064	0.9998758012134268	7.180706191744177e-11	5.465755901523176e-25	1.391408090632933e-16	2.575393749060192e-30	3.121387484129948e-13	1.118026682065347e-22	1.0438791920935754e-20	4.956181866237625e-253	3.0479168808885126e-227	Nervous System
21	3.936838952551e-31	1.5158603483984242e-28	0.9999898595682916	1.0140356525874195e-05	7.423928929330934e-11	6.453108818596333e-32	9.401295976601103e-13	4.7313664804614646e-17	3.229133017715849e-15	1.5179878194905175e-27	3.989299810243838e-26	1.603623460721068e-244	9.861847584361423e-219	Sensory Motile Cilia
22	1.4308713080945792e-32	1.435013844477166e-29	0.02823751995452471	0.971762480045071	3.8902040679906443e-13	4.838413718187441e-28	1.811720604544168e-20	1.4266209925499963e-34	1.5273933166402218e-14	2.4875480556909608e-29	2.230872874802904e-20	4.153115809667577e-257	2.5259864066508605e-222	Nervous System
23	2.1042023817212217e-24	6.267337960912096e-26	0.2028109424975146	0.7971890574757777	2.629781584967329e-11	7.911008648939821e-25	3.0226576241060748e-18	1.211127289427681e-21	4.098890540057636e-13	2.5743725689076264e-17	1.9712351879899413e-23	9.745533514244552e-224	6.333680577424294e-243	Nervous System
24	3.330428474687679e-15	1.0028878407085505e-17	0.00028954254339167676	0.9997104563930732	9.938870052816452e-10	1.6057565314000306e-19	3.3496173731663514e-14	6.960477718385217e-11	5.074858874170371e-16	1.925115419586839e-21	5.7992664694531016e-15	5.067813121713952e-134	0.0	Nervous System
25	3.497754204148272e-15	2.7471817822520337e-11	0.24662397268716135	0.7533744736138546	2.010415216987963e-07	3.6743352541462553e-16	6.36946592915732e-10	1.3516793887823367e-06	7.785503055545344e-11	7.107226468175826e-21	2.3579622094428924e-10	5.7318095056115844e-123	0.0	Nervous System
26	4.7798415369574046e-08	1.914866419309932e-08	0.003850546299817831	0.002478491184313125	0.03777831869570794	5.140010983741595e-10	0.33599246255615733	4.489289127749992e-05	0.6198552186867398	2.192167987736913e-14	2.224883876871653e-09	2.4986554944701523e-69	0.0	Heme/chitin
