label_id	anchor_x	anchor_y	anchor_z
114	108.94019317626952	180.1322021484375	183.40000915527344
115	108.46028137207031	176.61273193359375	183.6000061035156
116	107.3404769897461	181.5719757080078	183.40000915527344
117	107.18050384521484	182.0518951416016	183.1999969482422
118	107.50045013427734	180.61212158203125	183.40000915527344
119	106.06070709228516	185.5713653564453	185.40000915527344
120	107.66041564941406	180.1322021484375	183.6000061035156
121	108.78022003173828	183.1717071533203	183.40000915527344
122	109.2601318359375	181.5719757080078	183.40000915527344
123	96.302490234375	144.45770263671875	186.6000061035156
124	95.9825439453125	145.257568359375	186.8000030517578
125	96.78240203857422	146.05746459960938	185.1999969482422
126	97.1023406982422	144.9376220703125	187.1999969482422
127	97.1023406982422	147.4972381591797	185.0
128	107.18050384521484	170.53366088867188	182.40000915527344
129	108.94019317626952	176.772705078125	183.8000030517578
130	108.17028045654295	176.8668670654297	184.9554748535156
131	110.05998992919922	186.69119262695312	185.0
132	137.41500854492188	80.46757507324219	187.0
133	96.62242889404295	144.77764892578125	186.1999969482422
134	109.66609191894531	187.09120178222656	185.0148162841797
135	110.21995544433594	186.21124267578125	185.0
136	109.7689437866211	187.904541015625	185.28546142578125
137	109.74004364013672	187.01112365722656	185.0
138	96.94236755371094	143.65782165527344	187.40000915527344
139	101.37269592285156	156.11215209960938	186.2500457763672
140	110.69986724853516	185.8913116455078	188.8000030517578
141	111.33975219726562	186.05128479003903	188.6000061035156
142	108.94019317626952	184.771484375	189.1999969482422
143	110.69986724853516	183.33169555664062	189.8000030517578
144	108.78022003173828	185.8913116455078	188.8000030517578
145	110.53990173339844	184.771484375	189.1999969482422
146	110.69986724853516	185.25140380859372	189.0
147	110.3799285888672	185.8913116455078	188.8000030517578
148	111.49972534179688	185.411376953125	189.0
149	109.74004364013672	186.21124267578125	188.8000030517578
150	111.17977905273438	185.5713653564453	188.8000030517578
151	111.03327178955078	185.7386474609375	189.1500244140625
152	88.82576751708984	137.912841796875	197.2647857666016
153	111.9796371459961	182.0518951416016	190.6000061035156
154	112.53083801269531	181.6507568359375	191.21920776367188
155	112.12364959716795	182.02989196777344	190.55430603027344
156	112.40814208984376	182.1249237060547	191.1407928466797
157	135.65533447265622	76.628173828125	192.40000915527344
158	135.81529235839844	77.10810089111328	192.40000915527344
159	112.29957580566406	180.93206787109372	191.1999969482422
160	112.51940155029295	181.19601440429688	191.3428192138672
161	112.55233764648438	181.63275146484372	191.53282165527344
162	135.97526550292972	75.50834655761719	193.40000915527344
163	135.1754150390625	74.38851928710938	194.1999969482422
164	91.18341827392578	139.49845886230472	195.0
165	91.18341827392578	139.33848571777344	195.8000030517578
166	133.73568725585938	73.10871124267578	197.6000061035156
167	91.02344512939452	139.81842041015622	195.6000061035156
168	88.62388610839844	138.05868530273438	197.0
169	133.57571411132812	73.26869201660156	197.0
170	89.90364837646484	139.17851257324222	196.40000915527344
171	130.69624328613278	68.94935607910156	201.0
172	86.22432708740234	131.81965637207028	205.1999969482422
173	83.82475280761719	129.58000183105472	206.8000030517578
174	86.0643539428711	132.29957580566406	205.1999969482422
175	83.50481414794922	127.82027435302734	208.1999969482422
176	84.14469909667969	129.26004028320312	207.8000030517578
177	82.7049560546875	126.22051239013672	210.6000061035156
178	138.69477844238278	82.22730255126953	185.0
179	175.4880828857422	83.1871566772461	178.60000610351562
180	183.32666015625	87.02657318115234	180.40000915527344
181	178.84747314453125	84.78691101074219	179.40000915527344
182	95.82257843017578	142.85794067382812	188.1999969482422
183	87.50408935546875	136.45893859863278	199.8000030517578
184	84.14469909667969	128.62014770507812	207.8000030517578
