label_id	most_probable_broad_type	most_probable_broad_subtype	broadTypeColourScheme	subtypeColourScheme
3409	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3410	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3411	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3414	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
3416	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3418	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
3419	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3421	Central nervous system	clade11sub45subsub0	255-66-212-244	255-178-42-3
3423	Heme/chitin	nocladesub3	255-245-130-49	255-76-16-141
3424	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
3435	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
3436	Developing neurons	clade11sub32subsub1	255-145-30-180	255-175-143-128
3444	zero	clade4sub3	255-128-128-128	255-114-51-3
3491	Heme/chitin	clade3.2sub17	255-245-130-49	255-226-47-41
3520	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3522	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3524	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3525	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3526	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3529	Central nervous system	clade11sub6subsub8	255-66-212-244	255-143-198-85
3540	Heme/chitin	clade1sub19	255-245-130-49	255-150-142-138
3545	zero	clade5sub16	255-128-128-128	255-36-198-231
3587	Central nervous system	clade10sub3subsub5-9	255-66-212-244	255-221-88-152
3611	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3633	Cardiovascular system	clade7sub10	255-255-225-25	255-84-30-47
3677	Somatic musculature	clade3.1sub48	255-220-190-255	255-144-141-220
3692	Central nervous system	clade11sub8subsub8	255-66-212-244	255-31-134-135
3699	Motile cilia	clade11sub17subsub6	255-67-99-216	255-150-27-48
3701	Developing neurons	clade11sub4subsub6	255-145-30-180	255-237-50-18
3703	Motile cilia	clade9sub11	255-67-99-216	255-180-38-220
3719	Anterior nervous system	clade11sub30	255-240-50-230	255-73-63-228
3721	Anterior nervous system	clade11sub56	255-240-50-230	255-32-21-126
3727	Anterior nervous system	clade11sub45subsub1	255-240-50-230	255-216-210-143
3746	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
3748	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3749	Anterior nervous system	clade11sub48	255-240-50-230	255-17-19-116
3750	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3751	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
3752	Central nervous system	clade11sub8subsub8	255-66-212-244	255-31-134-135
3753	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
3754	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
3771	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
3806	Central nervous system	nocladesub19	255-66-212-244	255-216-91-192
3808	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
3844	Motile cilia	clade10sub24	255-67-99-216	255-8-157-70
3845	Motile cilia	clade10sub14	255-67-99-216	255-208-175-247
3846	Macrophage	nocladesub35	255-70-153-144	255-206-73-113
3848	Motile cilia	clade10sub24	255-67-99-216	255-8-157-70
3851	Gland cells	clade13sub9	255-154-99-36	255-202-236-176
3852	Somatic musculature	clade3.2sub16	255-220-190-255	255-46-161-11
3855	Somatic musculature	clade3.1sub11	255-220-190-255	255-134-112-131
3888	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3890	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3891	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
3892	Central nervous system	clade11sub48	255-66-212-244	255-17-19-116
3918	Motile cilia	clade10sub24	255-67-99-216	255-8-157-70
3920	zero	zero	255-128-128-128	255-208-44-76
3922	Midgut	clade1sub12	255-191-239-69	255-32-26-207
3923	Gland cells	clade5sub16	255-154-99-36	255-36-198-231
3933	Developing neurons	clade11sub1subsub10	255-145-30-180	255-77-44-29
3944	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3945	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
3948	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
3950	Developing neurons	clade11sub4subsub7	255-145-30-180	255-8-241-128
3956	Adult eye	nocladesub3	255-60-180-75	255-76-16-141
4004	Stem cells	clade3.2sub17	255-250-190-212	255-226-47-41
4013	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
4023	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
4024	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
4025	Developing neurons	clade11sub15subsub4	255-145-30-180	255-175-202-19
4029	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
4030	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
4032	Developing neurons	clade13sub7	255-145-30-180	255-185-97-34
4035	Anterior nervous system	clade11sub27subsub7	255-240-50-230	255-116-1-196
4057	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
4059	Motile cilia	clade9sub16	255-67-99-216	255-113-132-112
4061	Motile cilia	clade9sub11	255-67-99-216	255-180-38-220
4072	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
4078	Central nervous system	clade11sub9subsub3	255-66-212-244	255-165-50-180
4085	Motile cilia	clade11sub22subsub7	255-67-99-216	255-142-155-8
4097	Anterior nervous system	clade11sub30	255-240-50-230	255-73-63-228
4125	Central nervous system	clade9sub16	255-66-212-244	255-113-132-112
4127	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
4130	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
4131	Developing neurons	clade11sub48	255-145-30-180	255-17-19-116
4132	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
4204	Heme/chitin	clade3.1sub34	255-245-130-49	255-133-223-55
4205	Somatic musculature	clade3.1sub11	255-220-190-255	255-134-112-131
4206	Somatic musculature	clade3.1sub44	255-220-190-255	255-173-86-13
4258	Cardiovascular system	nocladesub9	255-255-225-25	255-244-217-251
4263	Gland cells	clade10sub10	255-154-99-36	255-158-207-139
4309	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
4315	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
4317	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
4318	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
4380	Central nervous system	clade11sub7subsub1-4	255-66-212-244	255-6-155-38
4396	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
4399	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
4400	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
4402	Somatic musculature	clade3.1sub11	255-220-190-255	255-134-112-131
4403	Somatic musculature	clade3.1sub46	255-220-190-255	255-46-157-95
4432	Central nervous system	clade11sub22subsub4	255-66-212-244	255-91-176-44
4433	Central nervous system	clade11sub7subsub7	255-66-212-244	255-40-149-110
4546	Somatic musculature	clade3.1sub14	255-220-190-255	255-12-43-217
4644	Adult eye	clade11sub7subsub6	255-60-180-75	255-88-67-2
4646	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
4647	Adult eye	nocladesub7	255-60-180-75	255-3-224-242
4648	Anterior nervous system	clade11sub3subsub7	255-240-50-230	255-232-10-188
4703	Anterior nervous system	clade11sub58	255-240-50-230	255-136-222-157
4704	Anterior nervous system	clade9sub17	255-240-50-230	255-209-78-49
4706	Central nervous system	clade11sub18subsub2	255-66-212-244	255-33-23-27
4778	Central nervous system	nocladesub19	255-66-212-244	255-216-91-192
4784	Anterior nervous system	nocladesub19	255-240-50-230	255-216-91-192
5001	Anterior nervous system	clade11sub58	255-240-50-230	255-136-222-157
5048	Anterior nervous system	clade11sub3subsub7	255-240-50-230	255-232-10-188
5049	Anterior nervous system	clade11sub58	255-240-50-230	255-136-222-157
5054	Anterior nervous system	clade11sub3subsub7	255-240-50-230	255-232-10-188
5060	Central nervous system	clade11sub4subsub6	255-66-212-244	255-237-50-18
5066	Motile cilia	clade10sub21	255-67-99-216	255-29-22-205
5067	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
5068	Developing neurons	nocladesub19	255-145-30-180	255-216-91-192
5069	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
