label_id	anchor_x	anchor_y	anchor_z	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id	most_probable_broad_type	most_probable_subtype
2713	204.48	152.72	48.1	4059	431	0	Central nervous system	clade11sub8subsub0
2714	206.8	150.08	48.1	3899	12	0	Central nervous system	clade11sub8subsub0
2716	212.16	153.84	49.3	4238	435	0	Developing neurons	clade11sub8subsub0
2717	210.4	146.8	48.5	4237	10	0	Developing neurons	clade11sub8subsub0
2720	213.2	149.28	51.3	4239	449	0	Developing neurons	clade11sub8subsub0
2726	220.16	146.96	47.1	4061	461	0	Central nervous system	clade11sub8subsub0
2747	134.64	181.92	48.7	4104	615	0	Motile cilia	clade10sub14
2748	135.44	177.44	50.1	4277	614	0	Developing neurons	clade11sub6subsub7
2754	144.88	168.72	48.4	4085	604	0	Midgut	clade11sub23
2755	146.08	173.84	48.9	4086	613	0	Cardiovascular system	clade11sub29subsub6
2763	157.84	180.48	51.8	1901	562	0	Glia	clade2sub2
2811	151.76	197.6	53.3	4482	8	0	Central nervous system	clade11sub8subsub0
2825	172.16	198.48	48.0	4304	505	0	Developing neurons	clade11sub8subsub0
2829	173.28	201.36	51.8	4490	523	0	Central nervous system	clade11sub8subsub0
2830	177.28	202.8	48.3	4136	507	0	Central nervous system	clade11sub8subsub0
2831	177.12	199.84	52.4	4492	513	0	Central nervous system	clade11sub9subsub4
2832	176.64	205.76	51.5	4491	509	0	Central nervous system	clade11sub8subsub0
2836	180.4	197.2	51.3	4493	503	0	Developing neurons	clade11sub9subsub3
2913	199.04	121.68	53.1	2987	535	0	Central nervous system	clade11sub8subsub0
2922	217.2	123.36	56.2	4683	547	0	Central nervous system	clade11sub8subsub0
3075	147.84	199.44	54.7	4965	90	0	Central nervous system	clade11sub13subsub4
3080	156.24	201.76	56.8	4967	94	0	Central nervous system	clade11sub8subsub0
3087	175.52	201.2	54.2	4806	515	0	Central nervous system	clade11sub11subsub2-3
3113	225.76	197.36	54.6	4497	559	0	Anterior nervous system	clade11sub52
3127	179.76	217.92	54.3	4670	633	0	Central nervous system	clade11sub7subsub7
3129	182.32	215.68	56.1	4985	628	0	Central nervous system	clade11sub7subsub7
3154	149.52	122.16	61.7	5449	545	0	zero	clade5sub16
3155	150.96	119.6	59.8	5219	541	0	Epidermis	clade6sub15
3157	154.16	120.56	60.0	5220	539	0	zero	clade1sub12
3180	215.28	124.32	58.2	4853	549	0	Central nervous system	clade11sub7subsub6
3220	223.36	139.12	57.8	5039	253	0	Developing neurons	clade11sub7subsub6
3221	223.04	132.64	56.5	5040	255	0	Central nervous system	clade11sub7subsub6
3222	225.44	136.16	59.8	5279	251	0	Developing neurons	clade11sub7subsub6
3223	225.68	128.8	59.6	5254	248	0	Developing neurons	nocladesub19
3224	225.28	145.44	59.4	5506	236	0	Central nervous system	clade11sub7subsub7
3225	227.44	132.64	57.6	5041	244	0	Developing neurons	clade9sub16
3226	227.04	141.36	61.0	5077	249	0	Anterior nervous system	clade11sub48
3227	229.52	135.68	57.8	5078	246	0	Developing neurons	clade9sub16
3233	233.84	139.36	61.2	5507	232	0	Central nervous system	clade11sub48
3259	181.84	150.08	61.3	5300	698	0	Cardiovascular system	clade5sub7
