label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
5109	146.0800018310547	116.15999603271484	90.5999984741211	144.32	113.92	88.4	149.52	118.96	94.8	95256
5110	148.0	119.68000030517578	88.4000015258789	145.92000000000004	116.96	85.7	150.56	122.8	90.8	98744
5112	150.0800018310547	115.1999969482422	88.80000305175781	147.28	112.4	86.4	153.28	117.52	92.8	93980
5114	150.87998962402344	121.5999984741211	92.20000457763672	147.76	118.64	89.30000000000003	153.84	123.68	94.6	91327
5116	155.51998901367188	117.1199951171875	93.0	150.96	115.12	87.7	157.12	120.8	94.9	98371
5117	153.27999877929688	123.36000061035156	88.80000305175781	150.56	118.96	86.10000000000002	156.32	125.76	91.0	117432
5118	156.0	117.5999984741211	89.4000015258789	151.76	114.64	86.30000000000003	158.4	119.68	91.5	94233
5181	123.1999969482422	148.0	87.80000305175781	119.92	145.44	85.60000000000002	126.8	151.12	90.4	101849
5184	127.83999633789062	152.95999145507812	87.80000305175781	123.92	150.0	85.60000000000002	130.96	156.72	90.8	124639
5187	129.27999877929688	148.16000366210938	88.4000015258789	125.92	145.84	86.10000000000002	132.64	150.48	92.7	99163
5371	150.239990234375	117.27999877929688	93.20000457763672	146.48	115.2	90.8	153.84	120.96	95.6	109929
7385	132.95999145507812	96.63999938964844	142.1999969482422	129.84	94.32	139.1	137.68	98.8	144.6	93170
7388	136.80000305175778	94.55999755859376	141.1999969482422	132.0	92.24	138.3	139.36	96.8	143.9	106085
7389	136.0	91.04000091552734	141.60000610351562	129.92000000000002	88.24	138.70000000000002	140.96	92.56	144.0	108265
7393	141.1199951171875	95.04000091552734	142.1999969482422	138.96	92.56	138.70000000000002	143.92000000000004	98.24	145.20000000000005	119177
7456	102.87999725341795	131.52000427246094	141.40000915527344	100.72	128.56	138.1	104.24	136.56	143.5	110353
7594	127.83999633789062	91.1999969482422	145.60000610351562	124.0	88.08	143.5	130.88	94.4	147.6	106322
7595	129.1199951171875	93.5999984741211	142.60000610351562	126.4	91.2	140.1	134.16	95.84	145.0	110532
7599	134.239990234375	94.07999420166016	145.40000915527344	130.72	90.48	142.5	137.92000000000002	96.0	147.5	107459
7601	136.63999938964844	91.1999969482422	145.60000610351562	133.52	87.28	143.4	140.0	93.68	148.20000000000005	102081
7603	142.0800018310547	92.47999572753906	144.8000030517578	139.04	90.0	142.1	145.84	94.48	147.0	85589
7681	101.27999877929688	135.67999267578122	146.8000030517578	98.08	133.44	144.0	103.44	139.6	149.70000000000005	101804
7682	102.72000122070312	132.16000366210938	146.40000915527344	100.56	130.0	142.8	105.04	136.0	149.70000000000005	102388
7683	103.83999633789062	126.87999725341795	144.60000610351562	100.88	123.36	140.70000000000002	106.16	130.4	145.6	108554
7684	104.79999542236328	135.83999633789062	144.40000915527344	102.4	130.96	142.4	107.28	139.28	146.4	95261
7685	105.91999816894531	143.52000427246094	144.8000030517578	103.12	140.56	141.8	108.48	147.6	147.8	119791
7687	105.91999816894531	126.7199935913086	147.1999969482422	103.36	123.84	144.5	108.56	131.68	149.1	89474
7688	106.72000122070312	132.95999145507812	142.1999969482422	104.16	130.72	140.0	109.36	137.84	144.5	100842
7689	105.43999481201172	139.52000427246094	147.1999969482422	102.96	135.92000000000002	144.70000000000005	107.68	142.88	150.5	102115
7690	106.72000122070312	128.0	142.40000915527344	104.8	125.28	140.5	110.64	131.84	146.0	122789
7691	107.1999969482422	134.239990234375	146.40000915527344	105.36	131.84	144.5	110.56	139.44	148.4	92578
7944	105.75999450683594	131.52000427246094	148.8000030517578	102.64	127.36	146.5	108.48	134.08	151.20000000000005	100018
9392	110.72000122070312	80.0	196.8000030517578	107.04	77.76	194.1	114.0	82.64	199.6	107508
9408	110.87999725341795	84.0	196.0	108.24	81.92	194.1	116.56	86.96000000000002	198.1	119085
9479	107.68000030517578	81.27999877929688	201.40000915527344	104.96	78.64	199.1	110.4	84.16	204.6	114807
9480	111.5199966430664	76.95999908447266	202.1999969482422	107.76	75.04	198.9	114.16	79.12	204.6	103305
9481	113.1199951171875	80.79999542236328	202.0	109.6	78.56	199.5	117.04	83.04	204.6	114568
9483	116.47999572753906	82.08000183105469	199.0	111.28	77.36	196.8	118.88	84.4	200.7	115953
9498	90.4000015258789	105.75999450683594	201.0	88.16	100.4	198.4	94.0	108.16	203.3	106277
9519	111.83999633789062	85.5999984741211	199.40000915527344	108.8	82.88	197.7	116.96	88.24	201.1	101798
9526	115.83999633789062	85.1199951171875	202.1999969482422	110.08	82.72	199.7	118.08	87.68	204.5	117103
9549	86.4000015258789	111.1999969482422	199.40000915527344	83.60000000000002	106.48	196.3	88.32000000000002	115.92	202.4	133403
9550	91.1999969482422	112.47999572753906	200.1999969482422	88.24	107.84	198.0	93.28	114.8	202.1	97344
9644	86.23999786376953	107.1999969482422	203.6000061035156	84.16	99.92	200.0	88.88	109.28	205.8	162318
9692	93.5999984741211	112.47999572753906	205.6000061035156	87.68	108.88	202.3	96.64	114.64	207.1	123011
11462	125.91999816894531	146.87998962402344	79.5999984741211	124.0	143.28	76.80000000000003	128.08	149.6	82.30000000000003	93172
11464	128.47999572753906	143.83999633789062	80.80000305175781	125.44	141.04	78.0	130.64	146.16	84.9	96936
