label_id	cell_ids	is_traced	most_probable_assignment	clade10sub3subsub5-9	clade10sub9	clade11sub11subsub0-4	clade11sub11subsub1	clade11sub11subsub2-3	clade11sub13subsub4	clade11sub13subsub5	clade11sub17subsub6	clade11sub18subsub7	clade11sub20subsub0-1-2-4-6	clade11sub20subsub3	clade11sub21	clade11sub23	clade11sub25subsub2	clade11sub25subsub3	clade11sub25subsub7	clade11sub28subsub2	clade11sub34	clade11sub35	clade11sub42	clade11sub6subsub6	clade11sub6subsub7	clade11sub6subsub8	clade11sub6subsub9	clade11sub7subsub1-4	clade11sub7subsub6	clade11sub8subsub0	clade11sub8subsub1-4	clade11sub8subsub8	clade11sub9subsub4
5181	9156	no	clade11sub11subsub0-4	8.603122318813052e-15	2.3647975582941275e-10	0.6438895586777822	0.0247203318887733	1.577126369487133e-05	0.0003849645644317	2.714230223048359e-09	2.9345128704942583e-10	1.6110619838316282e-13	6.872443431490321e-06	5.790697086564654e-05	7.000861342133736e-07	6.493735567792493e-05	5.305257119062428e-09	5.00022520645846e-08	3.3482669812965117e-10	2.6206047570851043e-12	0.0002443515892644	9.931040812597195e-06	2.3624324142513744e-08	6.075350402704788e-09	2.980164842113288e-06	9.388086120826388e-11	2.779484170620988e-11	5.015816478959355e-09	5.4800968808905955e-08	0.0001862426049862	0.3295839593533645	7.386037163229752e-10	1.4939338508859302e-05
5184	8970	no	clade11sub8subsub1-4	3.299695716955785e-12	3.914343696606658e-09	0.0031170177886809	0.0066982231932112	0.0002717738783722	2.0501705203263485e-07	3.2060456614527196e-10	6.79409413982372e-08	1.8680496325983432e-09	4.680603634827224e-08	7.204248922042093e-10	7.397894879752582e-10	0.022155472552721	3.089312257530198e-08	3.5723066344733975e-07	6.665325393809022e-08	7.397691890501481e-07	8.596920151607378e-09	1.739747928371559e-07	1.5878582513965152e-08	4.4457997141293884e-10	0.0001105058100724	1.456183171054874e-06	1.0148065636531597e-08	6.803488008105744e-08	3.578556560901278e-09	2.629321207624232e-05	0.9670535597811656	5.13763513030684e-05	5.120989395090685e-07
5187	9158	no	clade11sub8subsub1-4	1.0986502315701111e-10	8.885430252596901e-10	0.0782791778159076	0.112207905524745	0.0019667368912962	1.5277660742222625e-06	1.1453165244665752e-07	3.0140172841805456e-08	6.618947782465306e-08	1.5287767780884058e-08	8.68465859464759e-10	3.318195887385274e-06	0.1503349214157033	1.311831772587374e-09	1.434239201224944e-09	9.7816385717381e-14	2.729823095214311e-09	1.6955473405960103e-05	1.9344940820902943e-06	2.030612878650549e-06	2.5990937560087954e-11	5.249369189154893e-07	1.3101215689487706e-08	8.400963635629362e-08	4.044992867487042e-09	2.5965225440023646e-10	5.570689516003733e-05	0.648914396975153	1.4908979105404285e-07	4.483210776229849e-06
5371	9475	no	clade11sub20subsub0-1-2-4-6	2.542466610160298e-18	4.403262658449682e-12	3.392657313279396e-07	0.0008663194994433	1.9894081816789686e-10	2.2979280625315775e-07	8.144639143865722e-18	1.5293300570297638e-14	1.3717752343721908e-15	0.72113232413228	0.2779167751886527	1.477975301887079e-11	1.6341055544520412e-07	1.2939950581262334e-12	1.624826704593937e-12	4.482385887400499e-15	4.658194147668046e-12	3.16956150005354e-10	3.2954894699419973e-09	1.5089620392312636e-11	1.119592780947951e-10	1.2957179271385114e-09	2.9459240518767733e-13	1.7966354451280412e-18	1.5915644814458878e-10	2.9490336118966983e-13	5.4492925487130835e-09	9.617751700615436e-06	2.899023759817933e-11	2.0966478168482155e-10
7385	15931	no	clade11sub11subsub1	8.025342833215756e-16	2.6881249708042848e-11	0.1132847771690089	0.88459207465358	0.001650658145337	3.8204173745023825e-08	7.369266361236264e-12	5.8164231323134316e-08	6.006334975484652e-16	0.0004191571603879	4.813943743188111e-05	5.3147885558857697e-11	4.599207040226889e-07	1.6302056486595733e-08	1.6255826214604836e-12	8.951253872738832e-11	1.2883577746154059e-09	1.1823084514611432e-07	7.9569833474748e-10	2.6971048613780107e-08	4.854863353115052e-13	2.6992483692699276e-09	1.1393652317332312e-15	1.1146529166620622e-12	1.1787075206764215e-10	6.92127917587699e-13	1.8467011786801993e-09	4.15572696019622e-06	2.973689302969012e-07	2.101063391660228e-11
7388	15932	no	clade11sub11subsub0-4	1.2183818883210159e-11	2.740695674380789e-07	0.8331942700583859	0.1076904497891831	0.038223869348642	6.017209691796268e-06	3.4828768231880635e-08	0.0002567929755621	3.471437044510565e-13	7.597784562129837e-05	0.0002326114914676	2.691550673897134e-08	0.0200702305579942	3.012190320117832e-06	1.5048949014309602e-07	4.234535715485033e-08	2.3399175192090845e-07	3.354135682246262e-05	1.468053536195516e-06	1.807033539020302e-06	2.6338272947027233e-08	7.369069435429168e-06	1.8795492624631735e-10	5.5519969651087324e-08	1.3369340166572626e-07	3.0793055360698844e-09	1.595713664645613e-07	0.0001851491616265	5.584061513019879e-09	3.5960970252146222e-09
7389	15724	no	clade11sub11subsub0-4	2.2627799281384187e-09	8.123638669818725e-06	0.6958806340303648	0.0076531447537962	0.0324595396552116	9.088987135767174e-06	3.745277897381504e-06	0.000927682440829	4.3851369885099067e-11	8.423676617958233e-06	1.5163899975097578e-05	3.845931663935923e-06	0.2588675056755625	0.0001298557847691	1.355028880295881e-06	2.058564337211018e-09	7.838681770715387e-06	0.0029717998430988	4.58749719316495e-05	2.740836163378388e-06	1.0733469982237493e-07	3.749286806800714e-05	3.384714313208124e-09	4.326656952507193e-05	2.673804660154535e-07	3.589899779813781e-08	7.386297897185633e-06	0.0001662015128382	2.3428162588625976e-10	9.228809839038949e-08
7393	15921	no	clade11sub11subsub0-4	4.384832791456979e-11	6.505905086027158e-08	0.6733724276803014	0.0774970788434408	0.2455970455310519	7.282430520889554e-07	4.4944049981325535e-08	0.0006145136549531	5.91458739516584e-13	1.1811874093336242e-06	1.2430499845568738e-06	2.451021684993129e-09	0.0024836709313973	1.4900081828528956e-06	1.0339225843572109e-07	7.99903009934261e-09	1.7162023775512619e-09	2.2821850747841779e-07	4.9492286783124294e-08	6.558375786413085e-06	4.483751498725007e-09	7.99452365608914e-06	1.6885411577659063e-08	4.766312187875971e-06	7.534688824178448e-08	1.0734412775446675e-09	8.251001780431328e-06	0.0001488808873405	2.83195526381608e-07	9.252675171636193e-09
7456	15980	no	clade11sub11subsub0-4	5.1183179235433976e-06	0.0002953727045438	0.4925516997246502	0.1043496865197822	0.3680277513586339	0.0008975660798401	5.267013120055866e-07	5.961706503454059e-05	2.66004808333468e-12	0.0009247388074974	0.0181561573361372	5.226557502033965e-06	0.0091269204177371	3.191365626248164e-07	9.18749423013484e-08	0.0002458479664621	7.832511779974464e-06	0.0003896788851623	5.975879303549441e-05	0.0001804437265641	9.184735690444324e-07	5.692460478169146e-06	5.2536600915689386e-11	1.7900466384469837e-08	7.4679202520137985e-06	1.7533966850555958e-08	3.215570330496384e-05	0.0002898517704062	1.7380318777387608e-08	5.3099119176084155e-09
7594	16789	no	clade11sub28subsub2	2.0622919352978636e-08	0.0001558743227522	0.3067642605678454	0.0321395566026303	0.123300090103789	8.458508837041142e-05	1.520614526449291e-05	0.0017285502153896	1.888886721805782e-09	0.0013830464705421	0.000391828161086	0.0003463640017588	0.0077817835618312	1.8025223035107425e-07	5.996388819205775e-07	5.251120052171082e-06	0.5222664292918171	0.0004347874127328	7.987503966445526e-05	6.051504367020068e-05	1.744806800450381e-07	2.498383513267505e-06	1.891150611628248e-09	5.138155345010678e-10	5.05525997010661e-06	5.449057860107635e-05	2.1497181440151357e-06	3.5871547654549205e-06	3.4872042111977998e-09	5.935201677426882e-10
