label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
1175	230.0	167.2	23.4	196.24	147.20	0.10	231.84	170.24	63.50	0	1	kevin	1448	712	0
1211	187.92	199.12	25.6	177.84	194.72	0.10	190.96	207.92	42.50	0	1	kevin	1646	409	0
1212	188.32	203.84	26.3	167.52	188.80	8.10	190.48	208.24	61.80	0	1	kevin	1796	407	0
1214	189.84	196.72	26.8	171.68	190.00	21.80	192.64	209.04	61.60	0	1	kevin	928	81	0
1218	195.04	195.76	23.6	177.60	189.92	0.10	197.84	208.64	61.10	0	1	kevin	1059	395	0
1223	198.24	200.08	25.0	171.84	187.68	0.40	200.96	207.60	61.00	0	1	kevin	1506	399	0
1251	187.68	208.56	23.4	150.48	184.48	0.00	190.16	213.44	57.40	0	1	kevin	1501	405	0
1299	206.64	142.88	29.5	177.68	121.20	6.60	209.36	186.64	63.90	0	1	kevin	1849	178	0
1301	202.8	137.92	34.7	183.36	124.80	9.90	209.76	144.56	47.30	0	1	kevin	1834	167	0
1303	208.0	136.16	33.4	182.64	123.60	10.10	210.96	142.00	60.30	0	1	kevin	2328	164	0
1306	208.48	140.32	33.9	181.36	124.56	9.90	212.56	144.40	52.70	0	1	kevin	2329	162	0
1337	187.12	159.2	29.7	165.92	141.92	19.20	190.16	161.92	38.00	0	1	kevin	1885	671	0
1348	198.72	152.08	27.0	177.92	129.68	8.20	207.44	180.16	63.60	0	1	kevin	1703	335	0
1365	215.44	161.6	30.5	212.80	146.08	0.20	221.92	165.20	49.90	0	1	kevin	1124	363	0
1387	142.4	175.36	32.4	138.24	160.24	15.60	162.96	187.20	50.00	0	1	kevin	2209	195	0
1388	143.52	183.04	29.0	140.96	166.96	10.80	186.88	189.36	48.80	0	1	kevin	1922	203	0
1389	145.04	175.84	29.5	135.92	165.36	13.70	163.68	187.52	48.50	0	1	kevin	1900	197	0
1390	145.44	180.88	26.7	136.64	165.44	9.20	163.60	188.96	53.20	0	1	kevin	1921	199	0
1393	147.36	183.52	31.7	141.60	143.04	6.50	209.68	195.60	67.10	0	1	kevin	2077	207	0
1399	152.0	183.28	31.6	136.32	163.28	11.60	182.00	194.64	63.50	0	1	kevin	2229	179	0
1474	229.44	172.56	28.3	194.80	150.08	0.10	231.68	174.96	64.00	0	1	kevin	1743	713	0
1476	230.4	166.24	28.5	190.24	148.40	0.20	233.84	180.48	66.60	0	1	kevin	1565	716	0
1477	232.08	169.92	30.8	201.92	140.24	0.20	235.20	172.96	59.80	0	1	kevin	1024	714	0
1482	144.48	186.88	30.1	133.60	170.88	6.50	160.48	192.00	57.70	0	1	kevin	2076	205	0
1532	195.84	202.0	33.7	166.72	190.24	0.00	198.48	208.00	62.80	0	1	kevin	1648	393	0
1581	197.6	208.72	30.3	188.88	199.28	26.20	199.92	212.72	42.60	0	1	kevin	2140	387	0
1583	200.56	207.68	32.1	152.24	188.08	21.20	203.44	210.32	58.30	0	1	kevin	2299	101	0
1640	205.68	139.36	34.5	180.40	121.92	10.00	208.24	141.60	52.00	0	1	kevin	2173	160	0
1678	185.6	152.4	36.6	176.72	145.84	34.10	195.92	171.84	53.60	0	1	kevin	1715	429	0
1691	194.32	152.48	38.2	184.80	147.68	34.60	197.92	169.52	53.30	0	1	kevin	2860	425	0
1697	202.24	155.6	38.0	198.64	149.12	34.30	207.68	158.08	53.60	0	1	kevin	2878	459	0
1708	211.68	158.64	37.1	200.16	129.60	13.70	219.68	197.44	69.00	0	1	kevin	1404	465	0
1716	215.68	153.28	36.9	202.16	130.24	13.50	219.20	155.60	58.40	0	1	kevin	2691	471	0
1718	220.4	160.16	31.8	203.36	147.68	0.20	222.88	162.96	63.20	0	1	kevin	2197	100	0
1719	220.88	155.68	36.2	199.04	143.76	32.80	223.84	158.16	52.60	0	1	kevin	2533	479	0
1745	146.8	173.2	36.8	138.64	165.52	15.30	188.08	187.76	49.30	0	1	kevin	2210	201	0
1747	147.52	182.8	35.4	140.48	167.12	14.00	164.64	189.04	48.40	0	1	kevin	2394	183	0
1748	148.0	179.04	31.2	139.04	167.52	6.90	166.64	191.60	52.00	0	1	kevin	2230	181	0
1818	231.84	166.88	33.3	210.80	149.28	0.00	234.64	169.04	64.50	0	1	kevin	2072	715	0
1827	145.12	187.76	33.9	136.16	164.96	11.00	177.12	191.68	57.40	0	1	kevin	2395	187	0
1861	175.84	204.0	35.5	167.04	181.92	33.00	177.92	207.44	48.40	0	1	kevin	2783	487	0
1880	196.32	205.44	37.7	177.20	186.88	0.20	199.60	208.24	61.20	0	1	kevin	2788	103	0
1885	201.84	204.0	32.5	184.80	184.08	12.20	205.12	207.76	60.90	0	1	kevin	2143	397	0
1935	186.32	207.2	40.3	174.48	190.40	0.10	190.64	209.12	61.20	0	1	kevin	2444	79	0
1937	193.6	210.0	36.7	176.32	180.56	0.10	195.92	212.80	64.00	0	1	kevin	2139	403	0
1938	195.68	209.76	33.7	169.52	190.72	22.60	200.96	212.72	62.20	0	1	kevin	2445	401	0
2040	183.84	148.0	42.5	180.40	145.04	35.30	188.40	151.44	47.70	0	1	kevin	3028	590	0
2043	190.96	148.48	42.3	187.20	146.32	38.00	202.32	156.40	53.60	0	1	kevin	3205	417	0
2044	188.48	152.0	43.8	180.80	146.64	39.70	197.52	169.68	54.10	0	1	kevin	3357	421	0
2052	198.0	152.0	40.6	195.20	142.64	36.00	205.84	153.92	51.90	0	1	kevin	2861	481	0
2053	200.56	149.28	39.6	197.68	144.16	36.60	206.96	151.52	52.80	0	1	kevin	3031	473	0
2055	200.96	145.52	43.5	198.32	143.36	38.10	206.88	152.08	54.60	0	1	kevin	3208	469	0
2062	208.08	156.8	41.1	197.28	147.28	37.50	211.76	159.28	49.50	0	1	kevin	3229	455	0
2064	210.88	154.88	39.2	191.04	146.80	36.00	214.16	157.20	53.80	0	1	kevin	2881	463	0
2070	215.84	157.84	39.8	202.56	130.32	13.60	219.60	159.84	56.20	0	1	kevin	2692	457	0
2072	213.52	155.12	42.3	199.28	145.28	39.10	216.72	157.44	51.00	0	1	kevin	3391	439	0
2089	129.12	176.64	42.1	126.08	131.52	38.90	139.84	180.32	130.50	0	1	kevin	3413	644	0
2094	135.84	172.08	42.5	133.76	162.24	38.70	186.80	178.72	52.30	0	1	kevin	3403	611	0
2096	140.24	174.64	40.8	137.36	168.96	37.40	176.88	181.12	53.00	0	1	kevin	3240	609	0
2098	140.64	170.88	40.7	137.52	160.16	38.50	188.08	179.04	52.10	0	1	kevin	3241	607	0
2101	144.4	166.96	43.2	141.52	164.64	39.40	188.32	178.16	52.30	0	1	kevin	3405	605	0
2103	146.08	185.92	39.6	136.00	164.72	11.50	184.72	194.16	66.80	0	1	kevin	2908	189	0
2123	167.36	180.08	43.5	163.44	168.08	38.50	178.96	182.88	51.60	0	1	kevin	3258	521	0
2126	169.92	181.76	39.4	166.96	179.28	35.10	175.84	191.68	53.70	0	1	kevin	2912	519	0
2157	231.28	168.72	38.4	214.40	151.12	0.20	233.84	171.68	57.30	0	1	kevin	2904	717	0
2173	148.4	189.68	38.3	138.08	167.12	12.70	184.24	195.92	62.70	0	1	kevin	1923	191	0
2177	152.24	189.76	41.0	136.48	166.16	10.20	205.44	193.76	72.40	0	1	kevin	3085	193	0
2191	167.6	198.48	42.5	165.68	187.36	38.60	170.56	202.48	46.50	0	1	kevin	3282	491	0
2192	170.0	190.96	41.4	165.12	182.32	36.70	171.84	193.92	51.60	0	1	kevin	3088	485	0
2195	169.76	186.16	43.5	164.40	170.96	39.50	173.68	189.04	51.90	0	1	kevin	3268	489	0
2202	175.6	188.64	41.9	166.56	177.52	38.10	178.24	191.68	57.90	0	1	kevin	3269	497	0
2212	191.84	205.04	40.5	175.12	176.00	36.70	195.76	207.44	61.80	0	1	kevin	2797	73	0
2266	186.08	220.24	39.8	174.40	169.84	37.90	195.52	222.24	60.30	0	1	kevin	3306	534	0
2268	188.16	221.6	41.9	176.16	179.36	38.30	198.72	224.80	60.00	0	1	kevin	3481	517	0
2275	197.84	209.68	37.7	180.16	202.80	25.60	200.40	212.32	57.50	0	1	kevin	2630	389	0
2276	198.0	209.04	41.5	180.48	201.84	26.30	201.28	212.00	57.80	0	1	kevin	2447	391	0
2284	158.08	121.04	46.7	155.84	118.96	36.30	159.92	132.64	49.10	0	1	kevin	3655	564	0
2298	198.4	122.08	46.8	178.72	119.52	18.70	202.96	128.96	58.00	0	1	kevin	2988	537	0
2307	139.6	143.28	47.9	134.96	136.96	40.20	142.40	161.52	108.40	0	1	kevin	3878	635	0
2314	174.4	132.64	45.3	172.32	129.84	40.10	193.12	174.88	53.80	0	1	kevin	3504	578	0
2315	177.2	140.4	46.1	174.72	137.68	43.20	192.72	163.20	53.90	0	1	kevin	3701	572	0
2316	177.12	144.32	43.7	174.96	141.52	35.80	202.88	183.20	60.60	0	1	kevin	3520	588	0
2317	176.08	127.04	46.9	173.68	123.28	34.90	196.96	178.88	52.70	0	1	kevin	3866	598	0
2323	180.88	127.12	48.1	178.16	123.28	26.00	197.44	170.08	54.20	0	1	kevin	3868	600	0
2326	183.92	145.6	46.9	181.92	142.72	41.10	186.16	148.96	50.30	0	1	kevin	3728	592	0
2369	132.4	161.44	44.2	129.20	130.88	36.70	140.08	164.64	129.40	0	1	kevin	3742	640	0
2370	132.96	154.4	44.2	130.88	147.60	36.70	149.68	158.16	47.10	0	1	kevin	3349	641	0
2384	180.56	148.16	45.7	178.08	144.56	42.30	183.28	152.08	49.30	0	1	kevin	3522	602	0
2386	187.2	148.0	44.8	184.40	144.80	42.10	196.88	150.40	53.70	0	1	kevin	3534	419	0
2387	189.2	146.88	48.3	185.60	142.56	43.50	196.24	148.96	55.30	0	1	kevin	3729	49	0
2388	192.48	146.0	47.4	189.84	143.60	42.70	200.48	151.92	53.20	0	1	kevin	3535	423	0
2392	202.56	152.16	43.2	194.08	146.48	40.10	206.56	154.88	52.10	0	1	kevin	3361	443	0
2393	204.48	149.6	45.4	189.12	147.52	43.00	207.36	158.24	56.60	0	1	kevin	3731	433	0
2395	207.44	154.08	45.5	198.08	147.04	42.00	211.04	157.12	49.90	0	1	kevin	3732	441	0
2397	209.12	150.72	44.5	195.52	145.68	40.40	212.48	153.68	56.10	0	1	kevin	3363	445	0
2401	213.92	151.52	44.4	194.56	147.52	40.60	217.92	154.16	52.60	0	1	kevin	3538	447	0
2402	214.0	157.36	46.7	195.60	144.24	42.50	218.64	159.36	52.50	0	1	kevin	3756	453	0
2406	214.32	153.92	47.0	196.72	147.52	44.40	218.32	156.80	50.70	0	1	kevin	3919	437	0
2408	220.32	153.12	43.2	201.92	150.00	41.00	224.48	156.08	51.80	0	1	kevin	3539	477	0
2410	221.12	154.0	45.4	199.68	144.16	43.70	224.16	156.48	54.20	0	1	kevin	3901	475	0
2431	126.88	172.96	46.9	124.80	155.68	38.20	137.76	175.84	104.10	0	1	kevin	3238	643	0
2434	134.8	180.64	46.2	132.32	172.08	44.20	178.72	198.64	53.20	0	1	kevin	3940	616	0
2435	137.84	176.48	47.9	132.80	172.08	41.00	194.96	199.28	54.30	0	1	kevin	3941	617	0
2436	139.2	173.84	44.4	135.20	164.00	37.70	186.08	177.36	52.00	0	1	kevin	3765	610	0
2438	140.48	177.2	44.0	136.96	171.44	41.40	191.44	183.84	53.00	0	1	kevin	3415	608	0
2439	139.28	183.6	43.4	133.20	158.56	19.30	147.76	190.48	69.40	0	1	kevin	1471	561	0
2440	141.2	168.96	46.3	137.44	166.64	43.70	179.44	186.16	51.50	0	1	kevin	3926	612	0
