label_id	anchor_x	anchor_y	anchor_z	secretory	gut	empty	gland	yolk	neuropil	cuticle
69	175.5015921214865	68.02619134703149	161.60071784812294	0	0	0	1	0	0	0
70	158.5970736431976	108.72755560936407	138.11145756518485	0	0	0	0	0	0	0
71	187.96219173022786	167.10326073278674	8.845422290572785	0	0	0	0	0	0	0
72	164.47528237457308	109.49591279222471	117.37050170738114	0	0	0	0	0	0	0
73	162.46209539823445	60.43883979130091	233.42464825301056	0	0	0	0	0	0	0
74	167.81198935013313	195.9327348408145	122.06046799415009	0	0	0	0	0	0	0
75	163.9545669957687	102.63372073342748	253.2270803949224	0	0	0	0	0	0	0
76	183.3531535919833	125.04469528371521	90.71662862608332	0	0	0	0	0	0	0
77	170.80756071805703	79.62986272439281	236.31816261879624	0	0	0	0	0	0	0
78	186.74247809520455	119.96362012958514	122.4281296640972	0	0	0	0	0	0	0
