label_id	cell_id	nucleus_id	most_probable_subtype	most_probable_broad_type	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points
387	2140	1581	clade9sub7	Developing neurons	197.6	208.72	30.3	188.88	199.28	29.0	199.92	208.8	42.6	153
389	2630	2275	clade11sub9subsub4	Central nervous system	197.84	209.68	37.7	180.16	202.8	25.6	200.08	210.88	57.5	235
39	1425	1070	clade10sub22	Developing neurons	214.8	156.32	27.3	197.92	145.76	0.4	221.36	162.72	63.8	1269
391	2447	2276	clade11sub9subsub4	Central nervous system	198.0	209.04	41.5	180.48	201.84	26.3	201.04	212.0	57.8	204
393	1648	1532	clade11sub15subsub4	Central nervous system	195.84	202.0	33.7	166.72	190.24	0.0	196.48	208.0	62.8	557
395	1059	1218	clade11sub8subsub0	Developing neurons	195.04	195.76	23.6	177.6	189.92	0.1	195.84	208.64	61.1	475
397	2143	1885	clade11sub9subsub4	Central nervous system	201.84	204.0	32.5	184.8	184.08	12.2	205.12	207.76	60.9	465
399	1506	1223	clade11sub8subsub0	Central nervous system	198.24	200.08	25.0	171.84	187.68	0.4	200.08	207.6	61.0	957
40	3618	2522	clade11sub8subsub0	Central nervous system	168.4	196.24	45.5	166.16	182.88	45.5	168.48	196.32	55.2	183
401	2445	1938	clade11sub9subsub4	Central nervous system	195.68	209.76	33.7	169.52	190.72	22.6	200.96	211.28	62.2	599
403	2139	1937	clade11sub9subsub4	Central nervous system	193.6	210.0	36.7	176.32	180.56	0.1	194.0	210.88	64.0	643
405	1501	1251	clade10sub9	Motile cilia	187.68	208.56	23.4	150.48	184.48	0.0	188.96	213.44	57.4	507
407	1796	1212	clade11sub18subsub2	Central nervous system	188.32	203.84	26.3	167.52	188.8	8.1	189.52	208.24	61.8	694
409	1646	1211	clade11sub4subsub2-5-8	Developing neurons	187.92	199.12	25.6	177.84	194.72	0.1	190.96	207.92	42.5	256
411	1058	952	clade11sub4subsub2-5-8	Motile cilia	183.84	194.48	20.8	171.52	192.64	0.1	190.0	209.68	59.4	616
413	778	957	clade11sub18subsub2	Motile cilia	189.36	193.04	18.5	174.72	188.72	0.1	191.76	208.88	62.8	691
415	1364	959	clade11sub4subsub2-5-8	Developing neurons	192.16	198.72	21.0	168.96	191.04	0.2	192.24	208.8	64.3	929
417	3205	2043	clade11sub8subsub1-4	Central nervous system	190.96	148.48	42.3	188.8	146.72	42.3	202.32	156.4	53.6	350
419	3534	2386	clade11sub8subsub1-4	Central nervous system	187.2	148.0	44.8	187.2	146.0	44.8	196.88	150.4	53.7	116
42	2842	39	clade11sub4subsub6	Central nervous system	202.8	139.68	40.5	180.64	117.6	10.3	206.0	143.28	53.6	578
421	3357	2044	clade11sub23	Central nervous system	188.48	152.0	43.8	180.8	146.64	43.4	197.52	169.68	54.1	583
423	3535	2388	clade11sub8subsub0	Central nervous system	192.48	146.0	47.4	191.2	146.0	47.4	200.48	151.92	53.2	210
425	2860	1691	clade11sub8subsub0	Central nervous system	194.32	152.48	38.2	184.8	147.68	38.2	195.44	169.52	53.3	283
429	1715	1678	clade11sub23	Central nervous system	185.6	152.4	36.6	176.72	145.84	36.6	195.92	171.84	53.6	476
431	4059	2713	clade11sub8subsub0	Central nervous system	204.48	152.72	48.1	198.64	148.32	48.1	204.56	155.68	55.9	92
433	3731	2393	clade11sub8subsub0	Central nervous system	204.48	149.6	45.4	189.12	147.52	45.4	204.56	158.24	56.6	195
435	4238	2716	clade11sub8subsub0	Developing neurons	212.16	153.84	49.3	197.44	147.68	49.2	212.24	153.92	53.7	61
437	3919	2406	clade11sub8subsub0	Central nervous system	214.32	153.92	47.0	196.72	147.52	46.7	214.4	154.08	50.7	60
439	3391	2072	clade11sub8subsub0	Central nervous system	213.52	155.12	42.3	199.28	145.28	42.3	213.6	155.2	51.0	125
441	3732	2395	clade11sub8subsub0	Central nervous system	207.44	154.08	45.5	198.08	147.04	45.5	207.52	154.16	49.9	41
443	3361	2392	clade11sub8subsub0	Central nervous system	202.56	152.16	43.2	194.08	146.48	43.2	202.64	152.24	52.1	88
445	3363	2397	clade11sub8subsub0	Central nervous system	209.12	150.72	44.5	195.52	145.68	44.5	209.2	150.8	56.1	124
447	3538	2401	clade11sub8subsub0	Central nervous system	213.92	151.52	44.4	194.56	147.52	44.4	214.0	151.6	52.6	113
