label_id	anchor_x	anchor_y	anchor_z	cells	trace_id	cell_type	nucleus_id
10072	139.86097788393442	109.9478067803968	98.38831227086344	1	0	None	5606
10073	132.6878295427891	115.45236039093302	99.01002213310748	1	0	None	5597
10074	145.88264470663785	113.7744719087381	96.67056946971373	1	0	None	5368
10075	160.04037026906911	110.73168907831369	96.9360763027575	1	0	None	5380
10076	161.95817524410253	110.73216036698996	94.88990737643554	0	0	None	0
10077	167.1451573954291	108.20692590619689	95.48627054638158	0	0	None	0
10078	173.8615136290052	105.98553737997447	96.0830829393433	1	0	None	5385
10079	171.97669455721626	108.14595825456765	95.85964090753671	0	0	None	0
10080	174.9960985538213	109.7588199441141	96.42882078722576	1	0	None	5386
10081	182.21116063920616	110.77183502796964	95.65194139441108	1	0	None	5389
10082	186.2511597287144	112.49837505177722	96.75300306758335	1	0	None	5391
10083	194.1968679935121	110.09904994040843	94.70752074502882	0	0	None	0
10084	195.5612101038663	108.23777750564967	93.80023628753048	0	0	None	0
10085	196.90673828196583	114.08026038040093	94.1593121266537	0	0	None	0
10086	209.0384406888666	115.27176915990887	95.30946230286062	1	0	None	5397
10087	220.2991960205996	112.22339954185631	99.81182872959154	1	0	None	5637
10088	211.3208048188417	116.41252279271757	102.72291912330523	1	0	None	5884
10089	135.14934298413203	121.94639740069107	96.18942382253948	1	0	None	136
10090	149.07690054252555	118.70641160489521	94.95787451293171	0	0	None	0
10091	154.40570498422255	118.46495475915506	94.41300526521593	0	0	None	0
10092	170.80343495895798	122.73258912812807	97.5413026941618	1	0	None	5620
10093	179.3990986374876	120.04661391972219	92.96404176968805	0	0	None	0
10094	179.45591172745208	117.59703253981195	97.4000792503706	0	0	None	0
10095	177.50673077303824	121.6347889693748	102.39529347409685	1	0	None	5866
10096	184.9748330347332	117.31194585382671	96.2171298206942	0	0	None	0
10097	188.99434817934517	122.18106211067983	93.86817202997986	0	0	None	0
10098	188.5225437221924	122.13805005807968	98.05327896403507	1	0	None	5392
10099	193.8114447177901	119.61120287795308	96.45903653637434	0	0	None	0
10100	204.23395254278267	111.3499733966148	101.16871356430369	0	0	None	0
10101	201.40275276253098	119.99987430136473	95.55395939157104	1	0	None	5394
10102	200.71283510756058	119.26526343772457	98.24090394742409	0	0	None	0
10103	203.5024493261313	112.98007099963831	97.17203900879196	1	0	None	5629
10104	206.321249877014	119.44009702953156	98.20442215953828	1	0	None	5631
10105	200.64712613753244	126.53032907515744	103.61083158161888	1	0	None	6165
10106	207.12956505103102	117.4630499663121	94.48408015238606	0	0	None	0
10107	120.22387813143659	129.97754739996665	99.3839837727922	1	0	None	5641
10108	135.90479747816354	128.55068316260073	97.91014040874971	1	0	None	5417
10109	138.63674988009592	125.38683487495712	95.43380742548818	0	0	None	0
10110	139.64206827354047	127.36220173455708	96.73068289970765	1	0	None	5420
10111	144.3147737170706	124.48255547512586	96.32731996686022	1	0	None	5422
10112	150.09088758274558	133.33588608390158	96.39862277016044	0	0	None	0
10113	157.98383236680274	131.82099362849024	93.9008254930474	0	0	None	0
10114	160.36884072092462	131.80236395143268	94.21958547998436	0	0	None	0
10115	158.53201763485478	130.74328270876558	95.31611074867092	0	0	None	0
10116	159.33591399927533	131.69622450376454	93.07268550952207	0	0	None	0
10117	161.8205590800777	130.80089248736405	96.85834838888813	1	0	None	5428
10118	164.23876952033098	126.77032276098541	95.47287535872688	0	0	None	0
10119	175.7836823874935	127.49734328463266	98.72958637826706	1	0	None	5433
10120	179.62246118018754	131.78737246663573	93.83363053798115	0	0	None	0
10121	183.91212421222005	125.06445805211641	96.64374497161758	0	0	None	0
10122	189.94403246559185	124.64880961067611	96.83390775681777	1	0	None	5437
10123	184.2161052371304	139.8517349646929	99.53459722786623	1	0	None	5666
