label_id	clusters	morphologyColourScheme
7696	3	255-98-0-122
7512	2	255-7-197-226
7497	2	255-7-197-226
7498	7	255-98-132-2
6610	0	255-255-0-73
7715	5	255-181-131-84
7531	7	255-98-132-2
7516	5	255-181-131-84
7926	5	255-181-131-84
7517	5	255-181-131-84
7534	5	255-181-131-84
7533	7	255-98-132-2
7104	5	255-181-131-84
7733	7	255-98-132-2
7535	7	255-98-132-2
7731	7	255-98-132-2
7717	7	255-98-132-2
7330	5	255-181-131-84
6336	9	255-0-76-255
7307	10	255-114-16-255
7735	7	255-98-132-2
7317	5	255-181-131-84
7927	7	255-98-132-2
7719	7	255-98-132-2
7538	7	255-98-132-2
7738	7	255-98-132-2
7087	5	255-181-131-84
6338	10	255-114-16-255
7739	3	255-98-0-122
5133	9	255-0-76-255
6843	10	255-114-16-255
7764	10	255-114-16-255
7089	2	255-7-197-226
7740	1	255-147-172-58
7540	5	255-181-131-84
5351	9	255-0-76-255
7310	3	255-98-0-122
7741	10	255-114-16-255
7522	2	255-7-197-226
7541	10	255-114-16-255
4769	9	255-0-76-255
7742	2	255-7-197-226
7321	2	255-7-197-226
7523	6	255-209-164-255
7524	2	255-7-197-226
7322	2	255-7-197-226
7744	1	255-147-172-58
7932	5	255-181-131-84
7722	2	255-7-197-226
7745	2	255-7-197-226
7953	3	255-98-0-122
7724	2	255-7-197-226
7542	10	255-114-16-255
7955	3	255-98-0-122
7746	3	255-98-0-122
7725	2	255-7-197-226
7525	2	255-7-197-226
7312	0	255-255-0-73
7935	10	255-114-16-255
7323	4	255-254-141-100
7313	2	255-7-197-226
7315	2	255-7-197-226
7324	1	255-147-172-58
6887	3	255-98-0-122
7314	2	255-7-197-226
7727	3	255-98-0-122
7327	3	255-98-0-122
7325	5	255-181-131-84
7957	7	255-98-132-2
7750	2	255-7-197-226
7545	7	255-98-132-2
7751	5	255-181-131-84
7115	3	255-98-0-122
7528	5	255-181-131-84
7326	7	255-98-132-2
7728	5	255-181-131-84
7100	7	255-98-132-2
7752	5	255-181-131-84
7101	8	255-222-69-200
7529	5	255-181-131-84
7753	8	255-222-69-200
7082	7	255-98-132-2
7130	7	255-98-132-2
7332	6	255-209-164-255
7736	9	255-0-76-255
7757	8	255-222-69-200
7318	8	255-222-69-200
7320	8	255-222-69-200
7333	2	255-7-197-226
7961	5	255-181-131-84
7553	3	255-98-0-122
7963	8	255-222-69-200
7556	2	255-7-197-226
7765	10	255-114-16-255
7766	10	255-114-16-255
7109	5	255-181-131-84
6393	0	255-255-0-73
7361	0	255-255-0-73
7767	2	255-7-197-226
7338	2	255-7-197-226
7578	8	255-222-69-200
7974	7	255-98-132-2
7768	2	255-7-197-226
7783	5	255-181-131-84
7362	10	255-114-16-255
7139	3	255-98-0-122
7559	3	255-98-0-122
7339	2	255-7-197-226
7770	3	255-98-0-122
7772	2	255-7-197-226
7343	7	255-98-132-2
8149	5	255-181-131-84
7603	3	255-98-0-122
8151	2	255-7-197-226
8353	5	255-181-131-84
7984	5	255-181-131-84
8354	2	255-7-197-226
8156	5	255-181-131-84
8155	5	255-181-131-84
7589	8	255-222-69-200
8158	5	255-181-131-84
7590	5	255-181-131-84
7150	0	255-255-0-73
7986	9	255-0-76-255
6411	9	255-0-76-255
6947	9	255-0-76-255
7594	3	255-98-0-122
8148	3	255-98-0-122
7805	2	255-7-197-226
7806	2	255-7-197-226
7990	2	255-7-197-226
7982	8	255-222-69-200
7390	10	255-114-16-255
8161	2	255-7-197-226
7808	2	255-7-197-226
7809	5	255-181-131-84
8162	5	255-181-131-84
7600	1	255-147-172-58
7795	6	255-209-164-255
7834	7	255-98-132-2
8173	5	255-181-131-84
8174	5	255-181-131-84
7399	8	255-222-69-200
8010	5	255-181-131-84
8362	10	255-114-16-255
7400	7	255-98-132-2
8375	5	255-181-131-84
7833	7	255-98-132-2
7996	7	255-98-132-2
7995	5	255-181-131-84
8013	2	255-7-197-226
7193	4	255-254-141-100
7220	6	255-209-164-255
7822	2	255-7-197-226
6963	3	255-98-0-122
7823	6	255-209-164-255
7624	4	255-254-141-100
8182	2	255-7-197-226
7625	5	255-181-131-84
7401	6	255-209-164-255
6945	9	255-0-76-255
7837	3	255-98-0-122
7825	10	255-114-16-255
7639	3	255-98-0-122
8209	2	255-7-197-226
7402	6	255-209-164-255
6180	9	255-0-76-255
8385	1	255-147-172-58
6950	9	255-0-76-255
6216	9	255-0-76-255
6182	9	255-0-76-255
8037	3	255-98-0-122
8187	9	255-0-76-255
5728	9	255-0-76-255
8170	2	255-7-197-226
8171	2	255-7-197-226
8021	1	255-147-172-58
7858	9	255-0-76-255
8001	2	255-7-197-226
8023	2	255-7-197-226
7810	1	255-147-172-58
8004	2	255-7-197-226
8394	3	255-98-0-122
7614	5	255-181-131-84
8003	1	255-147-172-58
8024	9	255-0-76-255
5913	9	255-0-76-255
7811	5	255-181-131-84
7812	2	255-7-197-226
7829	2	255-7-197-226
6749	1	255-147-172-58
7993	3	255-98-0-122
7863	1	255-147-172-58
7431	9	255-0-76-255
7841	4	255-254-141-100
8005	8	255-222-69-200
7436	5	255-181-131-84
7660	8	255-222-69-200
8195	5	255-181-131-84
7874	5	255-181-131-84
8028	5	255-181-131-84
8405	5	255-181-131-84
8374	5	255-181-131-84
7701	9	255-0-76-255
6764	6	255-209-164-255
7462	5	255-181-131-84
7015	4	255-254-141-100
7189	2	255-7-197-226
7440	1	255-147-172-58
7219	6	255-209-164-255
8046	2	255-7-197-226
8231	1	255-147-172-58
8047	2	255-7-197-226
8048	2	255-7-197-226
7636	6	255-209-164-255
8425	1	255-147-172-58
8233	6	255-209-164-255
8205	2	255-7-197-226
8207	2	255-7-197-226
7486	6	255-209-164-255
7855	1	255-147-172-58
7670	6	255-209-164-255
7474	6	255-209-164-255
8210	1	255-147-172-58
7449	1	255-147-172-58
8212	2	255-7-197-226
7671	2	255-7-197-226
8413	2	255-7-197-226
8053	1	255-147-172-58
8054	2	255-7-197-226
8416	2	255-7-197-226
8038	9	255-0-76-255
8415	2	255-7-197-226
8241	2	255-7-197-226
8243	2	255-7-197-226
8056	1	255-147-172-58
8215	2	255-7-197-226
8216	1	255-147-172-58
8039	9	255-0-76-255
8242	2	255-7-197-226
8057	9	255-0-76-255
8418	2	255-7-197-226
7861	2	255-7-197-226
8060	2	255-7-197-226
8248	1	255-147-172-58
8061	2	255-7-197-226
8276	2	255-7-197-226
7888	2	255-7-197-226
8062	2	255-7-197-226
8249	2	255-7-197-226
8220	3	255-98-0-122
8065	2	255-7-197-226
8066	3	255-98-0-122
8250	1	255-147-172-58
7867	2	255-7-197-226
8251	10	255-114-16-255
7889	2	255-7-197-226
8439	2	255-7-197-226
8027	10	255-114-16-255
8441	2	255-7-197-226
8440	2	255-7-197-226
8088	2	255-7-197-226
7869	1	255-147-172-58
7870	2	255-7-197-226
7890	3	255-98-0-122
8067	2	255-7-197-226
7481	6	255-209-164-255
8089	7	255-98-132-2
8254	7	255-98-132-2
7892	6	255-209-164-255
5377	9	255-0-76-255
7925	4	255-254-141-100
7011	9	255-0-76-255
6989	9	255-0-76-255
5537	9	255-0-76-255
7238	6	255-209-164-255
7013	9	255-0-76-255
7682	2	255-7-197-226
7914	9	255-0-76-255
7706	9	255-0-76-255
8227	3	255-98-0-122
8091	7	255-98-132-2
8262	9	255-0-76-255
7503	9	255-0-76-255
8287	9	255-0-76-255
7707	9	255-0-76-255
8263	5	255-181-131-84
8264	9	255-0-76-255
8050	10	255-114-16-255
8450	1	255-147-172-58
8094	9	255-0-76-255
8093	1	255-147-172-58
8451	2	255-7-197-226
8471	10	255-114-16-255
7668	1	255-147-172-58
8078	2	255-7-197-226
8079	1	255-147-172-58
8288	2	255-7-197-226
7917	9	255-0-76-255
8096	2	255-7-197-226
8097	2	255-7-197-226
8474	2	255-7-197-226
8083	6	255-209-164-255
8268	6	255-209-164-255
8082	6	255-209-164-255
8271	6	255-209-164-255
8457	6	255-209-164-255
6806	9	255-0-76-255
7677	6	255-209-164-255
8290	2	255-7-197-226
7493	2	255-7-197-226
8656	2	255-7-197-226
8291	2	255-7-197-226
8292	2	255-7-197-226
8311	2	255-7-197-226
8277	2	255-7-197-226
8293	2	255-7-197-226
8114	2	255-7-197-226
7906	1	255-147-172-58
8296	10	255-114-16-255
8085	2	255-7-197-226
8279	2	255-7-197-226
8086	3	255-98-0-122
8280	3	255-98-0-122
8477	10	255-114-16-255
8119	3	255-98-0-122
8659	7	255-98-132-2
8317	5	255-181-131-84
8281	10	255-114-16-255
7908	2	255-7-197-226
8103	2	255-7-197-226
