label_id	VC	davids_cells	VNC
16545	6396	1	1
16546	6290	0	1
16562	6396	0	1
16563	6077	0	1
16564	6290	0	1
16800	5951	1	1
16802	5765	1	1
16803	6052	0	1
16822	5892	1	1
16823	6076	0	1
16834	6140	0	1
16835	6279	0	1
16836	6279	0	1
16837	6279	1	1
16838	5583	0	1
16840	6290	1	1
16864	5880	1	1
16866	5752	1	1
16875	6290	1	1
16898	6290	0	1
17165	6187	0	1
17167	6187	0	1
17168	6187	1	1
17171	5425	1	1
17187	6140	0	1
17189	6187	0	1
17191	6279	0	1
17192	6279	0	1
17193	6290	0	1
17194	5780	1	1
17236	5790	0	1
17237	5535	1	1
17238	6065	1	1
17239	5790	1	1
17240	5425	0	1
17518	5529	1	1
17538	5970	0	1
17539	6140	0	1
17542	5879	1	1
17543	5879	0	1
17546	5765	0	1
17548	6059	0	1
17563	6290	0	1
17571	6140	1	1
17572	6124	1	1
17573	5760	1	1
17575	5860	0	1
17576	5760	1	1
17586	6039	0	1
17632	6396	0	1
17633	6077	1	1
17635	6290	0	1
17913	6124	0	1
17916	6128	1	1
17917	5860	1	1
17918	6076	0	1
17927	6128	0	1
17929	6290	0	1
17931	6290	0	1
17932	6290	0	1
17954	5529	0	1
17955	5879	0	1
17985	5883	0	1
17989	5790	1	1
18017	6077	0	1
18018	6396	0	1
18044	6077	0	1
18290	5646	0	1
18297	6053	0	1
18319	5765	0	1
18320	6052	1	1
18321	6076	0	1
18339	6141	1	1
18341	5946	0	1
18346	6059	0	1
18353	6140	0	1
18354	6140	0	1
18355	5946	0	1
18372	5517	0	1
18377	6039	0	1
18378	6140	0	1
18424	5769	0	1
18694	5517	0	1
18698	6038	0	1
18712	5860	0	1
18714	6052	0	1
18727	5630	1	1
18744	5946	0	1
18745	5946	0	1
18746	5946	1	1
18764	5517	0	1
18766	5883	0	1
18787	6059	0	1
18815	5769	0	1
18848	6059	1	1
19035	5517	0	1
19036	5655	0	1
19038	5646	0	1
19039	5655	0	1
19042	5709	0	1
19043	6053	0	1
19061	5637	0	1
19062	5646	1	1
19065	5646	0	1
19066	6050	0	1
19067	6053	1	1
19071	6059	0	1
19103	5517	1	1
19108	6290	0	1
19357	5655	0	1
19358	6038	1	1
19372	5709	0	1
19373	6050	0	1
19392	6290	0	1
19406	5630	0	1
19407	5630	0	1
19426	5655	0	1
19427	5529	0	1
19448	6038	0	1
19452	6079	0	1
19477	6076	1	1
19665	5777	0	1
19668	5883	0	1
19669	6053	1	1
19681	6050	1	1
19682	6079	1	1
19718	5646	0	1
19734	5529	1	1
19745	6038	0	1
19746	6038	0	1
19747	6050	0	1
19749	6079	0	1
19771	5769	1	1
19956	6050	0	1
19973	5637	0	1
19976	5637	1	1
19979	5430	1	1
19980	5709	1	1
19983	6079	0	1
20000	5486	0	1
20001	5451	0	1
20016	6290	0	1
20049	6050	0	1
20051	6050	0	1
20053	6079	0	1
20215	5535	1	1
20230	6079	1	1
20238	0	1	1
20245	6079	0	1
20250	6290	0	0
20251	5451	0	0
20267	6026	0	1
20297	5655	1	1
20313	6038	0	1
20499	5556	0	1
20511	5784	0	1
20512	6171	0	1
20529	6246	0	1
20552	5486	0	0
20553	5486	0	1
20592	6038	0	1
20593	5784	1	1
20594	6079	0	1
20595	5452	1	1
20609	5486	0	0
20783	5589	1	1
20794	5430	0	1
20795	5784	0	1
20796	6171	1	1
20797	5451	0	1
20798	5451	0	1
20809	5784	0	1
20812	5451	0	1
20813	5486	0	0
20849	5465	1	1
20873	6246	0	1
21034	6068	0	1
21053	6246	0	1
21054	6246	0	1
21055	5486	0	1
21056	5486	0	1
21057	5451	1	1
21058	5451	0	1
21066	5887	1	1
21070	5486	0	0
21071	5486	0	1
21072	5486	0	1
21073	5486	0	1
21101	6246	0	1
21104	6246	0	1
21128	6246	0	1
21279	5556	0	1
21280	5503	1	1
21282	5535	0	1
21284	6068	0	1
21285	5535	0	1
21286	5670	1	1
21287	5670	0	1
21293	6246	1	1
21295	5486	0	1
21296	5451	0	1
21309	6246	0	1
21313	5451	0	1
21326	5635	0	1
21338	5635	1	1
21341	5486	0	1
21360	6246	0	1
21484	5556	0	1
21485	6026	1	1
21487	5778	0	1
21489	5670	0	1
21504	5486	0	0
21519	5556	0	1
21524	5887	0	1
21540	6026	0	1
21555	5777	0	1
21573	6246	0	0
21574	5486	0	0
21590	5486	0	1
21700	6233	0	1
21701	5635	0	1
21702	5778	0	1
21703	5778	0	1
21704	6068	1	1
21712	5556	0	1
21714	5777	0	1
21717	5486	1	1
21730	5556	0	1
21734	5486	0	0
21735	5486	0	1
21736	5486	0	1
21755	5886	0	1
21756	6233	1	1
21775	6068	0	1
21777	5465	0	1
21801	5486	0	0
21802	5486	0	0
21901	5556	0	1
21916	5887	0	1
21921	6186	1	1
21924	5535	0	1
21934	5887	0	1
21957	5556	1	1
21958	6233	1	1
21959	5886	1	1
21972	5778	1	1
22142	6186	0	1
22143	6186	0	1
22162	5777	1	1
22290	6233	0	1
22293	6186	0	1
22346	5886	0	1
22496	5539	0	1
22517	6233	0	1
22519	6186	0	1
22638	6026	0	1
22653	6186	0	1
22679	6186	0	1
22695	5539	0	1
22803	6026	0	1
22867	6046	0	1
23206	6026	0	1
23209	5783	1	1
23356	5539	0	1
23370	5922	0	1
23379	6211	0	1
23380	6046	0	1
23544	6211	0	1
23653	5539	0	1
23695	5922	0	1
23805	6046	0	1
