label_id	nucleus_id
279	530
280	531
281	0
282	0
283	534
284	0
285	0
286	0
287	0
288	0
289	546
290	541
291	545
292	0
293	555
294	552
295	504
296	560
297	0
298	564
299	0
300	568
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	551
310	558
311	561
312	0
313	676
314	730
315	0
316	0
317	728
318	577
319	587
320	759
321	740
322	744
323	0
324	0
325	0
326	589
327	0
328	477
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	599
338	601
339	605
340	0
341	0
342	0
343	767
344	0
345	2
346	595
347	596
348	592
349	625
350	0
351	598
352	0
353	484
354	784
355	494
356	630
357	0
358	481
359	497
360	498
361	830
362	650
363	0
364	656
365	838
366	0
367	663
368	0
369	0
370	0
371	0
372	489
373	0
374	490
375	527
376	0
377	491
378	621
379	0
380	0
381	492
382	0
383	0
384	0
385	0
386	499
387	501
388	0
389	649
390	710
391	518
392	659
393	0
394	0
395	0
396	853
397	0
398	665
399	671
400	535
401	673
402	0
403	540
404	536
405	677
406	537
407	0
408	0
409	0
410	544
411	0
412	0
413	0
414	0
415	0
416	562
417	510
418	0
419	0
420	5
421	720
422	0
423	569
424	0
425	0
426	878
427	542
428	543
429	584
430	0
431	0
432	0
433	0
434	721
435	0
436	570
437	0
438	0
439	0
440	0
441	745
442	0
443	585
444	572
445	729
446	737
447	946
448	747
449	588
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	478
460	0
461	0
462	0
463	0
464	1023
465	777
466	606
467	609
468	590
469	0
470	0
471	0
472	804
473	0
474	0
475	632
476	0
477	0
478	0
479	0
480	633
481	0
482	639
483	0
484	0
485	610
486	608
487	0
488	0
489	790
490	615
491	628
492	495
493	0
494	0
495	640
496	0
497	647
498	0
499	0
500	523
501	0
502	529
503	0
504	0
505	0
506	0
507	1107
508	0
509	0
510	4
511	0
512	0
513	505
514	827
515	651
516	0
517	655
518	654
519	0
520	0
521	849
522	0
523	850
524	0
525	0
526	525
527	1117
528	0
529	0
530	549
531	553
532	554
533	0
534	7
535	557
536	711
537	563
538	716
539	715
540	0
541	0
542	927
543	0
544	0
545	0
546	685
547	547
548	550
549	556
550	691
551	0
552	0
553	0
554	966
555	583
556	582
557	697
558	586
559	755
560	753
561	725
562	0
563	1250
564	735
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	779
573	0
574	0
575	0
576	0
577	17
578	0
579	0
580	0
581	1044
582	0
583	0
584	768
585	0
586	602
587	0
588	597
589	600
590	0
591	612
592	0
593	0
594	0
595	629
596	652
597	0
598	0
599	0
600	0
601	797
602	0
603	0
604	13
605	619
606	620
607	1035
608	0
609	0
610	864
611	0
612	0
613	627
614	637
615	642
616	643
617	645
618	707
619	0
620	658
621	913
622	834
623	0
624	0
625	0
626	0
627	0
628	924
629	0
630	662
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	705
640	0
641	0
642	0
643	0
644	664
645	0
646	0
647	723
648	0
649	675
650	682
651	688
652	0
653	692
654	694
655	0
656	0
657	0
658	926
659	928
660	0
661	724
662	726
663	0
664	0
665	736
666	741
667	0
668	756
669	712
670	0
671	727
672	8
673	0
674	0
675	0
676	743
677	962
678	0
679	0
680	0
681	758
682	988
683	0
684	762
685	0
686	0
687	0
688	991
689	0
690	0
691	0
692	591
693	0
694	0
695	0
696	613
697	999
698	0
699	0
700	0
701	1275
702	0
703	0
704	0
705	0
706	0
707	0
708	603
709	616
710	0
711	0
712	634
713	638
714	0
715	648
716	0
717	0
718	0
719	0
720	617
721	0
722	622
723	0
724	0
725	636
726	646
727	828
728	11
729	708
730	832
731	0
732	0
733	1076
734	839
735	0
736	0
737	1094
738	0
739	0
740	0
741	672
742	0
743	674
744	0
745	6
746	1041
747	0
748	687
749	690
750	631
751	0
752	0
753	719
754	0
755	0
756	851
757	668
758	0
759	937
760	0
761	683
762	0
763	883
764	0
765	0
766	0
767	718
768	0
769	731
770	0
771	0
772	678
773	732
774	734
775	0
776	15
777	739
778	957
779	742
780	0
781	965
782	0
783	748
784	0
785	749
786	703
787	750
788	0
789	0
790	757
791	915
792	929
793	0
794	2271
795	0
796	954
797	0
798	950
799	0
800	983
801	0
802	0
803	0
804	990
805	0
806	763
807	0
808	0
809	0
810	0
811	775
812	760
813	0
814	0
815	0
816	0
817	0
818	997
819	0
820	0
821	0
822	0
823	0
824	1024
825	780
826	607
827	611
828	844
829	0
830	803
831	1042
832	644
833	825
834	829
835	841
836	2495
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	1034
847	623
848	624
849	626
850	0
851	813
852	641
853	706
854	908
855	0
856	826
857	836
858	0
859	0
860	922
861	845
862	0
863	1095
864	0
865	0
866	0
867	0
868	0
869	0
870	861
871	12
872	0
873	0
874	860
875	873
876	0
877	0
878	1329
879	1040
880	0
881	679
882	684
883	0
884	693
885	0
886	701
887	702
888	0
889	0
890	0
891	0
892	855
893	0
894	931
895	722
896	680
897	0
898	0
899	686
900	689
901	696
902	0
903	0
904	700
905	699
906	704
907	1159
908	714
909	0
910	1163
911	717
912	0
913	925
914	0
915	0
916	961
917	0
918	973
919	752
920	754
921	941
922	0
923	940
924	2601
925	0
926	0
927	1252
928	1214
929	746
930	0
931	0
932	751
933	984
934	0
935	1934
936	1249
937	989
938	0
939	992
940	0
941	764
942	766
943	593
944	994
945	604
946	787
947	996
948	0
949	761
950	812
951	0
952	783
953	778
954	0
955	0
956	821
957	785
958	789
959	848
960	842
961	1086
962	801
963	805
964	806
965	635
966	0
967	819
968	0
969	833
970	792
971	2794
972	1729
973	0
974	0
975	0
976	1037
977	798
978	0
979	800
980	807
981	0
982	0
983	0
984	1675
985	809
986	0
987	0
988	818
989	0
990	0
991	0
992	1157
993	1066
994	0
995	837
996	843
997	846
998	0
999	0
1000	0
1001	3021
1002	0
1003	0
1004	0
1005	862
1006	863
1007	0
1008	869
1009	876
1010	0
1011	1043
1012	886
1013	0
1014	681
1015	0
1016	0
1017	885
