label_id	max_first_view	best_first_view_type	colour_first_view
7084	1.0431207225733466e-14	nocladesub12	255-122-4-2
7085	1.5273984814456896e-05	nocladesub20	255-212-231-53
7086	1.3396703784150417e-06	nocladesub22	255-101-252-104
7087	1.1780915610729198e-13	nocladesub12	255-122-4-2
7088	7.38942360741781e-16	nocladesub22	255-101-252-104
7089	4.3199451426732775e-10	nocladesub22	255-101-252-104
7090	6.492557987140609e-11	nocladesub22	255-101-252-104
7091	1.8187090421086016e-15	nocladesub22	255-101-252-104
7092	5.0279987392629304e-17	nocladesub22	255-101-252-104
7093	0.6452812241744467	nocladesub26	255-217-56-6
7094	3.863846214205033e-09	nocladesub20	255-212-231-53
7095	0.0096264690380002	nocladesub12	255-122-4-2
7096	2.308598665127627e-13	nocladesub20	255-212-231-53
7097	2.5975056225069355e-15	nocladesub12	255-122-4-2
7098	4.3739881607516886e-14	nocladesub12	255-122-4-2
7099	1.5120982771904163e-10	nocladesub12	255-122-4-2
7100	2.6886739076282213e-16	nocladesub12	255-122-4-2
7101	2.2383108669538102e-14	nocladesub12	255-122-4-2
7102	6.336429908784758e-17	nocladesub12	255-122-4-2
7103	6.130005916824061e-11	nocladesub22	255-101-252-104
7104	1.529227122431643e-13	nocladesub12	255-122-4-2
7105	6.7570339851373e-13	nocladesub12	255-122-4-2
7106	1.6140456226818157e-20	nocladesub22	255-101-252-104
7107	4.682628516885176e-13	nocladesub22	255-101-252-104
7108	1.5424340326947807e-06	nocladesub22	255-101-252-104
7109	1.6785811573599982e-12	nocladesub12	255-122-4-2
7110	3.101093561604197e-09	nocladesub22	255-101-252-104
7111	4.254543587555693e-05	nocladesub22	255-101-252-104
7112	0.000223506821542	nocladesub20	255-212-231-53
7113	3.367959468773131e-08	nocladesub22	255-101-252-104
7114	6.0744082262978275e-09	nocladesub22	255-101-252-104
7115	2.5248462162109655e-05	nocladesub22	255-101-252-104
7116	4.168234940749451e-12	nocladesub12	255-122-4-2
7117	0.0008756200724524	nocladesub2	255-70-122-242
7118	4.0837133565148784e-05	nocladesub22	255-101-252-104
7119	3.611443832598062e-07	nocladesub22	255-101-252-104
7120	8.598109719935767e-05	nocladesub22	255-101-252-104
7121	0.0020582590045377	nocladesub22	255-101-252-104
7122	1.1342259434525691e-08	nocladesub12	255-122-4-2
7123	7.3611273896293e-06	nocladesub2	255-70-122-242
7124	3.264484657131864e-05	nocladesub2	255-70-122-242
7125	7.964690487511275e-10	nocladesub12	255-122-4-2
7126	3.38612707693079e-13	nocladesub12	255-122-4-2
7127	2.8988992524375545e-08	nocladesub12	255-122-4-2
7128	0.8111804646671084	nocladesub2	255-70-122-242
7129	0.0004132231930895	nocladesub2	255-70-122-242
7130	0.0328845583302743	clade6sub19	255-254-152-44
7131	6.735652287975269e-05	nocladesub22	255-101-252-104
7132	5.4721880042523135e-05	nocladesub22	255-101-252-104
7133	0.0020323413809684	nocladesub22	255-101-252-104
7134	8.919660989642487e-05	nocladesub22	255-101-252-104
7135	0.0028582206089	nocladesub22	255-101-252-104
7136	0.0013985888111946	clade6sub19	255-254-152-44
7137	5.4951765758851365e-05	nocladesub22	255-101-252-104
7138	4.555315641758856e-08	nocladesub22	255-101-252-104
7139	8.959441688889082e-06	nocladesub22	255-101-252-104
7140	2.362205062575386e-05	nocladesub22	255-101-252-104
7141	2.4299535962820315e-11	nocladesub2	255-70-122-242
7142	2.9431418339264e-10	nocladesub12	255-122-4-2
7143	6.5791829211758656e-12	nocladesub22	255-101-252-104
7144	6.068013358227372e-09	nocladesub22	255-101-252-104
7145	2.3406896324013944e-12	nocladesub22	255-101-252-104
7146	5.945345428513791e-13	nocladesub22	255-101-252-104
7147	3.9000870009838046e-11	nocladesub12	255-122-4-2
7148	2.087120942792668e-11	nocladesub12	255-122-4-2
7149	4.3164310396562744e-13	nocladesub22	255-101-252-104
7150	1.4067086123784468e-07	nocladesub22	255-101-252-104
7151	1.1368295080479354e-08	nocladesub22	255-101-252-104
7152	2.5265757017780303e-05	nocladesub22	255-101-252-104
7153	4.1669849347051e-08	nocladesub22	255-101-252-104
7154	1.4067086123784468e-07	nocladesub22	255-101-252-104
7155	1.3490143121521044e-11	nocladesub12	255-122-4-2
7156	1.307543236567864e-09	nocladesub22	255-101-252-104
7157	1.2453086246120896e-05	nocladesub22	255-101-252-104
7158	0.0038567229222285	nocladesub2	255-70-122-242
7159	4.9513865091376354e-05	nocladesub20	255-212-231-53
7160	0.000340502768925	nocladesub22	255-101-252-104
7161	7.263581849931823e-05	nocladesub20	255-212-231-53
7162	0.0005223844283878	nocladesub2	255-70-122-242
7163	0.0011065459581707	nocladesub2	255-70-122-242
7164	0.0390059782994675	nocladesub2	255-70-122-242
7165	0.4861998597671073	nocladesub2	255-70-122-242
7166	0.0147089878456119	nocladesub12	255-122-4-2
7167	0.2093190037566937	nocladesub20	255-212-231-53
7168	0.0004907822744783	nocladesub2	255-70-122-242
7169	0.5880171025937742	nocladesub2	255-70-122-242
7170	0.0003709338045559	nocladesub20	255-212-231-53
7171	0.0013975033329312	nocladesub2	255-70-122-242
7172	0.0085215296868026	nocladesub12	255-122-4-2
7173	1.867781142803885e-07	nocladesub10	255-26-209-210
7174	6.866404668635378e-06	nocladesub10	255-26-209-210
7175	0.0031793107205781	clade6sub19	255-254-152-44
7176	3.484885820926157e-05	nocladesub12	255-122-4-2
7177	2.8105496977069134e-09	nocladesub10	255-26-209-210
7178	1.7040910288635312e-05	nocladesub2	255-70-122-242
7179	2.149434735626848e-11	nocladesub2	255-70-122-242
7180	3.643563427159415e-08	nocladesub2	255-70-122-242
7181	8.329834740026118e-12	nocladesub22	255-101-252-104
7182	2.716023445515197e-08	nocladesub2	255-70-122-242
7183	1.1786511901417071e-08	nocladesub2	255-70-122-242
7184	3.586600284151106e-11	nocladesub2	255-70-122-242
7185	1.3795490704624649e-08	nocladesub22	255-101-252-104
7186	1.0102345251525335e-09	nocladesub2	255-70-122-242
7187	7.313952891502857e-08	nocladesub10	255-26-209-210
7188	7.150946400380918e-08	nocladesub22	255-101-252-104
7189	3.7506864808870485e-13	nocladesub2	255-70-122-242
7190	0.0010943335288671	clade6sub19	255-254-152-44
7191	3.1155403791503573e-13	nocladesub22	255-101-252-104
7192	8.356421450490383e-06	nocladesub12	255-122-4-2
7194	5.627312420968376e-16	nocladesub12	255-122-4-2
7195	1.6419824360148296e-05	nocladesub12	255-122-4-2
7196	2.880864163213754e-06	nocladesub12	255-122-4-2
7197	9.862657824285328e-10	nocladesub10	255-26-209-210
7198	1.9721159785724726e-06	nocladesub22	255-101-252-104
7199	4.547288532745608e-05	nocladesub12	255-122-4-2
7200	0.0002528569734312	nocladesub10	255-26-209-210
7201	6.510774627948886e-10	nocladesub10	255-26-209-210
7202	5.288746242809074e-11	nocladesub12	255-122-4-2
7203	3.004534902884254e-10	nocladesub22	255-101-252-104
7204	8.402977855893075e-07	nocladesub2	255-70-122-242
7205	5.125411063759485e-08	nocladesub2	255-70-122-242
7206	6.039045373651508e-10	nocladesub2	255-70-122-242
7207	4.783662907041465e-09	nocladesub22	255-101-252-104
7208	3.652302279712667e-06	nocladesub10	255-26-209-210
7209	0.0007712663524538	nocladesub20	255-212-231-53
7210	1.5115009398102054e-08	nocladesub20	255-212-231-53
7211	3.58090900822515e-08	nocladesub22	255-101-252-104
7212	1.36275490725001e-08	nocladesub2	255-70-122-242
7213	1.6396376536192495e-06	nocladesub2	255-70-122-242
7214	1.6538545399537195e-11	nocladesub2	255-70-122-242
7215	5.803543524546614e-06	nocladesub20	255-212-231-53
7216	2.699738447660749e-09	nocladesub2	255-70-122-242
7217	5.8170388354887904e-06	nocladesub2	255-70-122-242
7218	1.504293631948055e-15	nocladesub2	255-70-122-242
7219	0.0019253248289292	nocladesub2	255-70-122-242
7220	0.0001024030852042	nocladesub2	255-70-122-242
7221	3.4364902620169764e-15	nocladesub2	255-70-122-242
7222	1.0877874024569947e-11	nocladesub2	255-70-122-242
7223	1.805707763738376e-07	nocladesub20	255-212-231-53
7224	3.1758625411623393e-10	nocladesub20	255-212-231-53
7225	2.4703776351555263e-08	nocladesub20	255-212-231-53
7226	1.7467495351023012e-06	nocladesub2	255-70-122-242
7227	0.0010533954932202	nocladesub10	255-26-209-210
7228	5.158103160035983e-12	nocladesub2	255-70-122-242
7229	1.6877673804102068e-17	nocladesub12	255-122-4-2
