label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
3538	168.8000030517578	148.16000366210938	64.80000305175781	165.84	146.08	62.3	172.16	151.52	67.7	109903
3541	183.51998901367188	158.0800018310547	64.80000305175781	181.04	155.36	62.3	187.76	162.88	67.60000000000001	115980
3628	174.0800018310547	169.59999084472656	64.20000457763672	171.44	167.92000000000004	61.2	180.24	172.88	67.4	104058
3831	156.16000366210938	137.59999084472656	68.59999847412111	153.04	134.96	66.3	162.24	140.4	71.3	104147
3836	168.16000366210938	140.95999145507812	67.40000152587889	164.56	138.8	65.2	170.0	145.20000000000005	69.9	101727
3906	153.9199981689453	145.9199981689453	69.0	151.44	143.6	66.60000000000001	156.32	151.36	71.2	112252
3908	163.51998901367188	160.16000366210938	71.80000305175781	157.52	156.8	68.60000000000001	164.96	162.72	74.9	109589
3909	168.0	162.239990234375	69.0	164.4	158.8	66.9	171.20000000000005	166.24	71.2	109157
3910	171.1999969482422	152.3199920654297	67.59999847412111	169.20000000000005	150.72	65.5	176.32	157.68	70.60000000000002	98065
3911	173.44000244140625	164.0	67.20000457763672	170.16	161.84	65.2	177.12	168.64	69.3	106836
3913	179.36000061035156	157.44000244140625	68.80000305175781	174.4	155.6	65.5	182.16	162.48	69.2	104854
3915	178.39999389648438	160.95999145507812	71.4000015258789	175.04	156.24	69.60000000000001	182.08	163.6	73.10000000000002	98083
3996	174.39999389648438	164.0	71.5999984741211	170.16	161.84	69.3	177.6	167.52	73.5	100423
4179	220.79998779296875	108.63999938964844	72.80000305175781	217.68	105.92	70.60000000000002	223.92	111.44	74.5	83165
4265	151.83999633789062	156.47999572753906	73.80000305175781	150.32	150.24	71.9	154.08	158.56	76.80000000000003	105198
4266	159.0399932861328	154.55999755859375	79.0	155.12	152.88	74.10000000000002	162.08	156.96	81.0	109433
4269	163.1999969482422	161.27999877929688	76.0	161.04	157.68	74.10000000000002	167.36	164.16	79.60000000000002	110743
4270	165.9199981689453	146.55999755859375	78.5999984741211	163.20000000000005	142.32	73.5	167.92000000000004	149.28	80.30000000000003	102152
4271	168.3199920654297	165.1199951171875	73.80000305175781	166.16	161.12	71.4	171.44	167.92000000000004	76.2	115698
4272	169.1199951171875	148.16000366210938	72.5999984741211	166.4	145.76	70.0	172.72	152.8	74.4	109578
4274	170.87998962402344	151.1999969482422	75.5999984741211	168.64	148.24	73.7	174.16	155.04	79.30000000000003	102389
4275	174.87998962402344	148.47999572753906	72.20000457763672	170.96	146.8	70.8	177.76	155.44	74.4	98124
4279	176.8000030517578	155.51998901367188	74.0	173.68	152.4	71.9	180.24	158.24	76.3	111942
4356	188.8000030517578	168.0	74.4000015258789	185.12	165.92000000000004	71.4	193.44	170.16	77.9	118167
4533	160.0	141.27999877929688	78.20000457763672	156.4	138.96	76.3	164.24	145.12	80.9	135653
4590	153.75999450683594	150.0800018310547	78.0	151.92000000000004	146.16	75.9	156.96	155.04	80.80000000000003	124505
4597	167.67999267578125	162.87998962402344	80.5999984741211	164.16	159.76	78.5	169.84	167.04	82.7	90504
4602	174.72000122070312	153.9199981689453	80.80000305175781	170.64	149.92000000000004	78.7	178.56	157.12	82.5	111153
4667	158.39999389648438	170.239990234375	83.80000305175781	156.96	165.92000000000004	79.4	161.04	172.24	85.7	86047
