label_id	anchor_x	anchor_y	anchor_z	n_points	cell_id	nucleus_id
135	134.4	126.4	141.0	127	5765	0
25	135.28	126.72	135.8	832	5765	0
30	124.32	116.56	156.1	379	5765	0
120	132.16	122.88	145.6	104	5765	0
67	120.48	112.48	166.1	352	5765	0
69	122.8	114.32	161.1	514	5765	0
162	134.56	125.76	140.7	54	5765	0
72	122.08	115.6	159.7	406	5765	0
58	122.32	111.28	166.8	326	5765	0
56	121.84	111.6	168.9	687	5765	0
148	135.2	127.44	134.6	80	5765	0
146	134.96	127.04	134.0	138	5765	0
153	135.36	126.88	136.0	73	5765	0
4	120.48	111.36	166.4	276	5765	0
43	139.44	93.84	151.0	864	5765	0
71	122.0	116.24	159.7	179	5765	0
161	135.36	124.88	139.0	112	5765	0
64	121.12	111.52	168.5	548	5765	0
40	124.32	117.2	155.1	131	5765	0
9	129.12	122.32	148.8	481	5765	0
150	134.72	127.12	134.5	116	5765	0
7	129.04	122.08	149.2	11	5765	0
145	134.96	126.96	133.6	219	5765	0
55	121.28	112.0	169.3	494	5765	0
112	132.32	124.8	143.3	132	5765	0
94	130.64	122.16	147.4	181	5765	0
17	128.8	122.48	148.9	340	5765	0
19	128.88	120.56	149.5	1071	5765	0
81	125.52	117.84	152.3	738	5765	0
107	133.28	125.36	141.8	106	5765	0
109	132.32	125.44	142.5	33	5765	0
123	131.76	121.76	146.0	167	5765	0
33	122.96	116.72	158.2	237	5765	0
28	122.08	112.08	166.9	683	5765	0
26	120.64	113.12	166.8	327	5765	0
138	131.36	125.52	141.8	97	5765	0
144	135.04	127.36	133.5	195	5765	0
54	120.48	111.84	168.7	379	5765	0
41	124.08	116.96	155.2	323	5765	0
6	129.28	121.76	149.4	402	5765	0
8	129.44	122.24	149.2	340	5765	0
151	135.6	126.32	135.2	191	5765	0
65	118.4	113.68	166.7	553	5765	0
70	122.24	115.12	160.8	702	5765	0
160	135.84	126.56	137.1	182	5765	0
27	121.28	113.12	167.6	381	5765	0
29	119.68	113.36	166.0	709	5765	0
137	131.68	124.96	141.9	206	5765	0
139	132.8	125.84	140.6	138	5765	0
122	131.2	122.56	144.2	258	5765	0
32	123.36	115.76	157.8	167	5765	0
80	125.68	118.16	152.3	1048	5765	0
18	128.88	120.72	149.8	581	5765	0
16	128.48	122.0	148.7	219	5765	0
108	133.52	125.12	141.5	360	5765	0
106	134.48	124.16	142.6	281	5765	0
113	132.64	125.12	143.2	146	5765	0
95	130.72	122.32	147.3	128	5765	0
31	124.4	117.76	155.8	371	5765	0
121	131.92	122.72	145.5	80	5765	0
134	134.4	125.52	140.9	81	5765	0
24	129.68	122.96	146.6	718	5765	0
98	130.0	121.76	146.8	42	5765	0
96	130.24	122.24	146.8	132	5765	0
110	133.12	125.44	142.9	156	5765	0
105	132.96	125.28	142.3	247	5765	0
83	127.76	119.68	151.9	441	5765	0
15	128.4	121.76	148.8	133	5765	0
5	129.44	121.76	149.1	137	5765	0
152	135.36	126.24	135.9	95	5765	0
42	124.32	117.52	155.1	462	5765	0
57	121.12	110.56	168.7	358	5765	0
59	123.12	110.64	167.0	242	5765	0
147	135.04	127.52	134.2	90	5765	0
149	135.04	127.44	134.4	61	5765	0
163	134.32	125.84	140.7	63	5765	0
73	122.64	116.08	158.8	559	5765	0
68	121.28	113.6	167.1	219	5765	0
66	120.0	113.84	166.0	354	5765	0
103	133.6	124.48	142.8	267	5765	0
13	129.04	121.2	148.1	586	5765	0
85	125.44	116.4	155.1	303	5765	0
90	125.04	117.12	156.2	188	5765	0
118	132.08	122.48	144.8	134	5765	0
116	132.8	124.48	143.2	7	5765	0
132	133.28	125.76	141.0	193	5765	0
22	128.8	121.68	148.5	339	5765	0
37	123.04	115.36	157.5	525	5765	0
39	123.6	116.32	158.0	165	5765	0
127	132.8	124.32	141.8	129	5765	0
129	131.76	124.56	142.2	185	5765	0
60	122.16	111.68	167.0	300	5765	0
165	133.12	125.44	141.5	97	5765	0
75	125.12	117.04	156.6	170	5765	0
51	120.32	112.0	168.9	301	5765	0
141	131.28	125.2	143.0	127	5765	0
154	135.28	126.64	136.0	129	5765	0
3	128.72	122.0	148.7	539	5765	0
44	123.92	116.8	155.2	514	5765	0
78	126.32	118.8	152.5	539	5765	0
76	124.56	117.6	154.9	874	5765	0
166	122.0	113.44	167.5	135	5765	0
63	121.36	110.56	168.4	386	5765	0
47	119.84	112.48	169.5	594	5765	0
49	119.52	111.76	169.3	884	5765	0
157	135.52	126.64	136.2	168	5765	0
159	135.44	126.16	136.9	139	5765	0
142	132.4	125.2	140.9	193	5765	0
52	119.6	112.48	169.2	234	5765	0
115	132.4	125.44	143.4	184	5765	0
93	123.36	114.48	160.4	450	5765	0
88	125.04	116.48	154.6	168	5765	0
10	212.72	121.52	158.9	357	18763	0
86	124.8	116.48	155.1	178	5765	0
100	132.4	123.92	144.0	139	5765	0
124	131.68	123.12	146.0	218	5765	0
34	122.72	116.16	159.1	451	5765	0
21	129.04	122.0	148.7	486	5765	0
131	132.72	124.64	141.2	173	5765	0
