label_id	aka	comment	source_file	first_node_zyx_nm	n_nodes	nmx_in_traces	nmx_in_data	cell_group_dir	min_dist_nucleus_um	closest_nucleus_id	in_platybrowser
85	158.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141844|125569|131420	97	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.72	6141	True
86	127.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141864|125394|133352	106	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.79	7602	True
87	157.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	141994|124999|131750	206	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.72	7277	True
88	148.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142194|124019|132395	152	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.77	7279	True
89	149.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142219|124585|131829	185	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.14	7247	True
90	1063.0	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.015.nmx	142264|125442|133199	53	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.015.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.015.nmx	david	1.80	6875	True
91	125.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142314|125331|132972	247	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.41	7406	True
92	150.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142344|125131|131596	255	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.39	7435	True
93	124.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142414|124946|133178	318	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.04	7401	True
94	146.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142429|124735|133264	17	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	4.22	6875	True
95	129.2	commissural (finished group)	david_1_Commissures_Tracing_old versions and back-ups_Remaining_Remaining_comm_.639.nmx	142564|125462|132352	88	david/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.639.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Remaining/Remaining_comm_.639.nmx	david	3.68	6875	True
96	126.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142606|124184|134490	281	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.10	7401	True
97	131.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142748|125692|132836	167	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	3.09	6875	True
98	123.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142864|124519|133637	267	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.49	7240	True
99	130.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	142998|125478|133120	156	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.34	7066	True
100	161.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143069|125213|131325	127	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.21	7247	True
101	1073.004	non-commissural: big-chain extra cell	david_1_Commissures_Tracing_old versions and back-ups_Tracing commissures V2_Commissures.nmx	143159|125144|133096	18	david/1_Commissures/Tracing/old versions and back-ups/Tracing commissures V2/Commissures.nmx	data/Projects/1_Commissures/Tracing/old versions and back-ups/Tracing commissures V2/Commissures.nmx	david	4.19	6875	False
