label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
237	121.34	113.61	167.14	144.78	97.23	119.97	168.51	114.26	135.34	219	1	commissural
238	131.72	89.14	167.22	166.27	85.78	103.14	185.34	122.93	147.83	363	0	david
239	122.05	113.45	167.52	153.08	109.35	118.79	188.25	118.43	127.59	135	1	commissural
240	121.74	113.38	167.53	160.45	76.53	105.92	175.60	132.52	135.19	339	1	david
241	121.33	113.17	167.68	160.05	89.88	112.34	169.45	128.64	131.80	381	1	commissural
242	121.39	110.64	168.47	165.85	94.84	93.62	195.24	125.87	126.91	386	1	commissural
243	121.20	111.52	168.52	105.74	101.22	104.69	175.72	125.29	160.38	548	1	commissural
244	121.17	110.59	168.73	149.65	75.61	101.25	173.19	121.45	149.92	358	1	commissural
245	120.50	111.88	168.78	164.47	96.92	107.52	209.18	126.12	127.31	703	1	david
246	121.15	112.03	168.82	112.34	100.72	109.97	173.85	143.82	144.13	526	1	commissural
247	121.86	111.64	168.93	99.72	96.00	100.59	173.30	127.31	164.26	687	1	commissural
248	120.34	112.07	168.97	153.49	93.99	113.20	171.21	130.14	142.35	301	1	commissural
249	119.95	112.06	169.03	100.60	102.70	104.79	178.59	121.29	156.56	706	1	commissural
250	120.83	111.56	169.23	87.66	96.88	113.12	169.98	154.13	134.22	610	1	commissural
251	119.67	112.54	169.28	165.90	104.47	96.90	174.99	121.93	132.27	234	1	commissural
252	121.28	112.01	169.32	142.98	109.84	91.88	204.39	149.86	123.99	627	1	david
253	119.58	111.77	169.38	104.81	94.66	89.85	170.32	157.80	128.76	884	1	commissural
254	119.88	112.55	169.57	56.48	96.74	113.51	170.12	176.71	142.52	594	1	commissural
255	108.38	143.86	169.66	155.30	115.69	108.38	169.66	143.86	126.94	80	0	commissural
256	120.13	113.14	169.70	167.76	97.79	105.26	190.34	122.78	126.97	275	1	commissural
257	120.90	111.47	169.72	109.60	106.27	100.41	187.08	125.00	154.94	411	1	commissural
258	106.18	138.16	169.75	145.88	121.03	106.13	170.07	138.16	129.53	103	0	commissural
259	120.86	111.78	169.88	166.25	85.89	120.86	175.50	111.78	148.00	216	1	commissural
260	126.28	103.89	171.81	164.47	96.92	111.92	178.42	103.89	127.31	155	0	david
261	125.27	102.85	173.54	173.54	102.58	103.14	185.34	122.93	125.27	199	0	commissural
262	117.50	111.59	179.51	165.05	97.16	114.92	180.61	113.77	126.42	156	0	commissural
263	116.84	111.55	179.56	173.96	93.72	89.30	195.88	157.27	127.58	252	0	commissural
264	116.93	112.27	179.66	164.41	97.13	89.44	184.26	170.95	126.43	453	0	commissural
265	118.43	110.60	179.74	173.59	76.20	104.15	181.51	117.77	140.55	298	0	commissural
266	112.01	96.36	180.20	180.20	69.93	112.01	227.93	105.02	127.02	435	0	commissural
267	101.88	108.18	181.88	180.72	108.18	101.88	186.15	118.73	116.08	119	0	commissural
268	117.65	111.12	182.21	182.14	97.37	98.34	187.76	120.46	126.50	210	0	commissural
269	108.97	115.69	184.21	142.98	111.66	91.88	211.47	149.86	123.81	468	0	commissural
