label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
8839	124.35	117.59	155.15	115.19	93.84	133.86	150.96	131.16	185.38	924	1	curated	8839	187
8841	135.06	127.57	134.24	129.80	84.00	134.04	166.64	131.84	174.60	180	1	curated	8841	52
8842	122.42	115.78	157.81	102.33	95.52	141.52	173.36	128.09	179.71	560	1	curated	8842	205
8856	123.07	115.42	157.56	99.36	110.20	103.30	160.21	137.10	170.30	1050	1	curated	8856	202
8979	124.23	117.65	154.15	123.48	82.16	78.86	136.96	154.33	182.50	1056	1	curated	8979	179
8999	139.49	93.87	151.01	93.44	79.60	136.10	215.25	127.15	178.20	1728	1	curated	8999	168
9000	123.36	115.83	157.83	95.28	102.88	148.94	131.24	130.81	178.60	334	1	curated	9000	206
9006	122.93	115.17	157.46	102.48	107.44	101.78	154.78	126.28	179.60	984	1	curated	9006	201
9010	123.95	116.86	155.20	106.90	104.93	105.07	149.07	123.26	178.00	1028	1	curated	9010	188
9035	122.73	116.24	159.13	104.52	107.34	140.64	204.24	146.88	213.36	902	1	curated	9035	213
9121	138.66	117.26	150.16	113.25	79.60	136.10	214.44	125.18	184.40	1364	1	unique-close	9121	165
9264	120.71	113.18	166.82	101.40	99.70	155.58	129.46	128.34	189.70	654	1	curated	9264	230
20001	183.59	182.05	32.62	175.20	165.33	32.62	184.83	182.05	48.60	398	1	none	0	1
20002	199.50	160.04	33.98	133.31	135.10	31.79	199.50	179.27	108.67	2422	1	none	0	2
20004	194.24	165.96	34.08	183.34	146.37	33.11	194.24	165.96	55.68	362	1	none	0	4
20005	202.08	167.64	34.80	180.48	164.07	34.80	203.00	185.01	45.01	932	1	none	0	5
20006	197.09	167.22	35.42	157.01	120.09	35.42	197.11	167.22	93.71	1050	1	none	0	6
20007	204.94	159.71	35.73	191.58	158.86	35.73	204.94	173.47	44.51	554	1	none	0	7
20008	190.52	161.25	36.15	184.60	151.38	36.15	190.52	161.68	50.84	210	1	none	0	8
20009	198.19	163.22	36.75	190.12	162.03	36.75	198.19	164.01	38.13	46	1	none	0	9
20010	212.09	158.49	37.05	167.61	153.74	36.51	220.32	204.15	78.03	1888	1	none	0	10
20011	193.29	160.39	37.85	184.88	151.16	37.85	193.29	161.09	51.74	248	1	none	0	11
20012	197.66	159.43	38.05	186.99	155.75	38.05	197.66	159.43	52.68	130	1	none	0	12
20013	171.43	172.35	40.23	171.43	172.27	39.70	190.54	179.66	46.42	684	1	none	0	13
20014	199.29	160.57	40.50	189.39	149.07	40.42	199.30	160.57	57.02	298	1	none	0	14
20015	200.54	156.00	40.98	190.64	156.00	35.23	202.25	173.03	43.90	270	1	none	0	15
20016	128.44	144.00	81.67	128.44	136.13	81.67	141.35	151.48	127.65	504	1	none	0	16
20018	129.25	148.95	81.67	126.19	127.35	81.67	147.19	155.77	134.95	780	1	none	0	18
20019	132.55	147.56	84.30	132.03	144.68	84.30	139.57	149.08	102.99	60	1	none	0	19
20024	153.21	122.60	88.28	143.79	118.90	88.28	156.15	124.67	109.89	106	1	none	0	24
20025	155.14	117.16	88.80	155.14	117.16	71.16	166.36	124.99	93.39	132	1	none	0	25
20026	153.21	122.64	88.98	120.69	94.60	88.98	155.83	124.75	208.71	506	1	none	0	26
20028	127.12	154.12	90.92	127.12	154.12	90.92	129.35	160.98	96.43	22	1	none	0	28
20029	154.13	118.16	91.67	152.77	118.16	72.20	165.89	125.82	99.27	204	1	none	0	29
