label_id	max_midgut_endo	best_midgut_type	colour_midgut
10854	0.0009131485158813	clade1sub12	128-254-83-255
10855	0.0012358991520168	clade1sub4	53-243-148-255
10856	0.0133779301964695	clade1sub3	70-122-242-255
10857	5.166221225757357e-06	clade1sub3	70-122-242-255
10858	4.700430131130047e-08	clade1sub14	247-113-27-255
10859	3.404827451276622e-07	clade1sub14	247-113-27-255
10860	1.4886490345042119e-09	clade1sub14	247-113-27-255
10861	9.199071861194692e-08	clade1sub12	128-254-83-255
10862	1.2989914353101108e-06	clade1sub3	70-122-242-255
10863	1.982489504090836e-07	clade1sub3	70-122-242-255
10864	0.0001111012907681	clade1sub11	232-213-56-255
10865	3.115833609417249e-05	clade1sub11	232-213-56-255
10866	9.626130668195694e-10	clade1sub7	24-215-202-255
10867	7.162709477194548e-10	clade1sub7	24-215-202-255
10868	1.727186574289732e-15	clade1sub7	24-215-202-255
10869	2.8631376641023265e-14	clade1sub7	24-215-202-255
10870	1.859390799505465e-16	clade1sub7	24-215-202-255
10871	4.4147004716211134e-16	clade1sub7	24-215-202-255
10872	7.231902148281059e-23	clade1sub7	24-215-202-255
10873	5.252624374156855e-20	clade1sub7	24-215-202-255
10874	2.3983906178660727e-08	clade1sub7	24-215-202-255
10875	1.1667560162128566e-10	clade1sub7	24-215-202-255
10876	1.1927484823481256e-10	clade1sub11	232-213-56-255
10877	5.2880383533841023e-14	clade1sub13	180-27-1-255
10878	1.0877981300365182e-09	clade1sub11	232-213-56-255
10879	1.9128620756222595e-11	clade1sub13	180-27-1-255
10880	8.100657888129472e-12	clade1sub13	180-27-1-255
10881	1.2518701057547498e-10	clade1sub19	187-244-52-255
10882	1.2426436021380318e-06	clade1sub11	232-213-56-255
10883	8.637680221066813e-08	clade1sub12	128-254-83-255
10884	2.4258452719188695e-07	clade1sub11	232-213-56-255
10885	1.0223771981541823e-09	clade1sub11	232-213-56-255
10886	3.550555820575232e-05	clade1sub12	128-254-83-255
10887	0.0017049178419238	clade1sub11	232-213-56-255
10888	2.7789455911547604e-05	clade1sub12	128-254-83-255
10889	0.0004005901869801	clade1sub12	128-254-83-255
10890	2.3032591076468232e-08	clade1sub12	128-254-83-255
10891	5.084860988120644e-06	clade1sub12	128-254-83-255
10892	0.1139621950978859	clade1sub12	128-254-83-255
10893	0.0008319074265241	clade1sub12	128-254-83-255
10894	0.1888168262365859	clade1sub12	128-254-83-255
10895	0.0024768705433852	clade1sub12	128-254-83-255
10896	0.0458870512629265	clade1sub11	232-213-56-255
10897	5.8032002650208575e-15	clade1sub3	70-122-242-255
10898	5.015435666588629e-15	clade1sub7	24-215-202-255
10899	1.7178894474906225e-15	clade1sub7	24-215-202-255
10900	1.4430822442252908e-10	clade1sub7	24-215-202-255
10901	2.742297124353861e-16	clade1sub7	24-215-202-255
10902	1.0712802826296812e-10	clade1sub11	232-213-56-255
10903	3.3327895326462776e-10	clade1sub7	24-215-202-255
10904	5.040338528167335e-05	clade1sub7	24-215-202-255
10905	5.948429162410286e-06	clade1sub7	24-215-202-255
10906	1.7593840004108497e-11	clade1sub7	24-215-202-255
10907	9.200255976643913e-08	clade1sub7	24-215-202-255
